         time tiltx_bot_... 
 8.397790e-02 -2.321077e-03 
 8.430089e-02 -2.321511e-03 
 8.462388e-02 -2.321948e-03 
 8.494688e-02 -2.322389e-03 
 8.526987e-02 -2.322832e-03 
 8.559286e-02 -2.323277e-03 
 8.591585e-02 -2.323725e-03 
 8.623884e-02 -2.324175e-03 
 8.656184e-02 -2.324629e-03 
 8.688483e-02 -2.325085e-03 
 8.720782e-02 -2.325543e-03 
 8.753081e-02 -2.326004e-03 
 8.785380e-02 -2.326466e-03 
 8.817680e-02 -2.326930e-03 
 8.849979e-02 -2.327396e-03 
 8.882278e-02 -2.327862e-03 
 8.914577e-02 -2.328328e-03 
 8.946876e-02 -2.328793e-03 
 8.979176e-02 -2.329258e-03 
 9.011475e-02 -2.329721e-03 
 9.043774e-02 -2.330183e-03 
 9.076073e-02 -2.330642e-03 
 9.108372e-02 -2.331099e-03 
 9.140672e-02 -2.331555e-03 
 9.172971e-02 -2.332009e-03 
 9.205270e-02 -2.332462e-03 
 9.237569e-02 -2.332912e-03 
 9.269868e-02 -2.333360e-03 
 9.302167e-02 -2.333805e-03 
 9.334467e-02 -2.334247e-03 
 9.366766e-02 -2.334687e-03 
 9.399065e-02 -2.335122e-03 
 9.431364e-02 -2.335553e-03 
 9.463663e-02 -2.335978e-03 
 9.495963e-02 -2.336400e-03 
 9.528262e-02 -2.336818e-03 
 9.560561e-02 -2.337231e-03 
 9.592860e-02 -2.337639e-03 
 9.625159e-02 -2.338043e-03 
 9.657459e-02 -2.338443e-03 
 9.689758e-02 -2.338840e-03 
 9.722057e-02 -2.339234e-03 
 9.754356e-02 -2.339623e-03 
 9.786655e-02 -2.340008e-03 
 9.818955e-02 -2.340389e-03 
 9.851254e-02 -2.340766e-03 
 9.883553e-02 -2.341138e-03 
 9.915852e-02 -2.341505e-03 
 9.948151e-02 -2.341867e-03 
 9.980451e-02 -2.342224e-03 
 1.001275e-01 -2.342576e-03 
 1.004505e-01 -2.342925e-03 
 1.007735e-01 -2.343268e-03 
 1.010965e-01 -2.343607e-03 
 1.014195e-01 -2.343941e-03 
 1.017425e-01 -2.344273e-03 
 1.020654e-01 -2.344601e-03 
 1.023884e-01 -2.344926e-03 
 1.027114e-01 -2.345248e-03 
 1.030344e-01 -2.345566e-03 
 1.033574e-01 -2.345881e-03 
 1.036804e-01 -2.346192e-03 
 1.040034e-01 -2.346500e-03 
 1.043264e-01 -2.346805e-03 
 1.046494e-01 -2.347107e-03 
 1.049724e-01 -2.347406e-03 
 1.052954e-01 -2.347704e-03 
 1.056184e-01 -2.348002e-03 
 1.059414e-01 -2.348298e-03 
 1.062643e-01 -2.348593e-03 
 1.065873e-01 -2.348887e-03 
 1.069103e-01 -2.349183e-03 
 1.072333e-01 -2.349479e-03 
 1.075563e-01 -2.349776e-03 
 1.078793e-01 -2.350073e-03 
 1.082023e-01 -2.350370e-03 
 1.085253e-01 -2.350668e-03 
 1.088483e-01 -2.350968e-03 
 1.091713e-01 -2.351270e-03 
 1.094943e-01 -2.351573e-03 
 1.098173e-01 -2.351879e-03 
 1.101402e-01 -2.352187e-03 
 1.104632e-01 -2.352500e-03 
 1.107862e-01 -2.352816e-03 
 1.111092e-01 -2.353136e-03 
 1.114322e-01 -2.353459e-03 
 1.117552e-01 -2.353785e-03 
 1.120782e-01 -2.354116e-03 
 1.124012e-01 -2.354451e-03 
 1.127242e-01 -2.354789e-03 
 1.130472e-01 -2.355130e-03 
 1.133702e-01 -2.355474e-03 
 1.136932e-01 -2.355822e-03 
 1.140162e-01 -2.356175e-03 
 1.143391e-01 -2.356533e-03 
 1.146621e-01 -2.356895e-03 
 1.149851e-01 -2.357262e-03 
 1.153081e-01 -2.357635e-03 
 1.156311e-01 -2.358015e-03 
 1.159541e-01 -2.358400e-03 
 1.162771e-01 -2.358791e-03 
 1.166001e-01 -2.359186e-03 
 1.169231e-01 -2.359585e-03 
 1.172461e-01 -2.359991e-03 
 1.175691e-01 -2.360401e-03 
 1.178921e-01 -2.360815e-03 
 1.182150e-01 -2.361233e-03 
 1.185380e-01 -2.361655e-03 
 1.188610e-01 -2.362083e-03 
 1.191840e-01 -2.362517e-03 
 1.195070e-01 -2.362956e-03 
 1.198300e-01 -2.363401e-03 
 1.201530e-01 -2.363852e-03 
 1.204760e-01 -2.364308e-03 
 1.207990e-01 -2.364770e-03 
 1.211220e-01 -2.365238e-03 
 1.214450e-01 -2.365709e-03 
 1.217680e-01 -2.366183e-03 
 1.220909e-01 -2.366661e-03 
 1.224139e-01 -2.367141e-03 
 1.227369e-01 -2.367625e-03 
 1.230599e-01 -2.368111e-03 
 1.233829e-01 -2.368597e-03 
 1.237059e-01 -2.369086e-03 
 1.240289e-01 -2.369579e-03 
 1.243519e-01 -2.370074e-03 
 1.246749e-01 -2.370571e-03 
 1.249979e-01 -2.371071e-03 
 1.253209e-01 -2.371571e-03 
 1.256439e-01 -2.372074e-03 
 1.259669e-01 -2.372578e-03 
