run,record,scale,T_excitation,T_over_Tinit,Sd_record_mm,Sd_target_mm,Sd_fixedT1_mm,amplification,A_mps2,PGA_g,V_peak_mps,T_end,T_end_over_Tinit,n_cycles_used,ncyc_source,A_record_g,T_id_held,T_jump_flag,T_acorr,T_fft,tid_note,T_legacy_disp,T_exp_psd,T_exp_welch,T_exp_ch_spread,T_exp_window_s,tid_source,beta_applied,s_applied
11,EC40,0.5,0.156622,1.6521,3.9404,1.9702,0.6877,2.87,1.6516,0.1684,0.041146,0.156636,1.6523,0.602,two-IM(Sd+PGA),0.1876,0,0,0.153403,0.156666,ok_autocorr,0.153403,0.156636,0.156815,0.0001,2.9276,exp_psd_svd,1.0,0
12,HU12,2.25,0.156636,1.6523,1.7235,3.8779,1.32,2.94,2.5309,0.2581,0.063057,0.156585,1.6517,0.783,two-IM(Sd+PGA),0.2918,0,0,0.143241,0.155274,ok_autocorr,0.143241,0.156585,0.156634,0.0003,2.9226,exp_psd_svd,1.0,0
13,HU12,2.5,0.156585,1.6517,1.723,4.3075,1.4666,2.94,2.8134,0.2869,0.070073,0.15654,1.6513,0.783,two-IM(Sd+PGA),0.3242,0,0,0.142277,0.154728,ok_autocorr,0.142277,0.15654,0.156344,0.0004,2.9226,exp_psd_svd,1.0,0
14,HU12,2.75,0.15654,1.6513,1.7225,4.7369,1.6133,2.94,3.0961,0.3157,0.07709,0.156482,1.6507,0.784,two-IM(Sd+PGA),0.3566,0,0,0.141608,0.154113,ok_autocorr,0.141608,0.156482,0.155988,0.0004,2.9226,exp_psd_svd,1.0,0
15,HU12,3.0,0.156482,1.6507,1.7219,5.1657,1.76,2.94,3.3794,0.3446,0.084112,0.156456,1.6504,0.784,two-IM(Sd+PGA),0.389,0,0,0.141243,0.153584,ok_autocorr,0.141243,0.156456,0.155656,0.0005,2.9226,exp_psd_svd,1.0,0
16,HU12,3.5,0.156456,1.6504,1.7216,6.0257,2.0533,2.93,3.9437,0.4021,0.098138,0.156207,1.6477,0.784,two-IM(Sd+PGA),0.4539,0,0,0.141531,0.152274,ok_autocorr,0.141531,0.156207,0.154564,0.0005,2.9226,exp_psd_svd,1.0,0
17,HU12,4.0,0.156207,1.6477,1.719,6.876,2.3466,2.93,4.5183,0.4607,0.112247,0.155965,1.6452,0.786,two-IM(Sd+PGA),0.5187,0,0,0.143243,0.15131,ok_autocorr,0.143243,0.155965,0.153503,0.0005,2.9226,exp_psd_svd,1.0,0
18,HU12,4.5,0.155965,1.6452,1.7165,7.7241,2.6399,2.93,5.0961,0.5197,0.126394,0.15576,1.643,0.787,two-IM(Sd+PGA),0.5836,0,0,0.145952,0.150903,ok_autocorr,0.145952,0.15576,0.152682,0.0005,2.9226,exp_psd_svd,1.0,0
19,HU12,5.0,0.15576,1.643,1.7143,8.5715,2.9333,2.92,5.6753,0.5787,0.140563,0.156004,1.6456,0.788,two-IM(Sd+PGA),0.6484,0,0,0.15572,0.153009,ok_autocorr,0.15572,0.156004,0.153777,0.0006,2.9226,exp_psd_svd,1.0,0
20,HU12,5.5,0.156004,1.6456,1.7169,9.4428,3.2266,2.93,6.2259,0.6349,0.154457,0.155925,1.6448,0.787,two-IM(Sd+PGA),0.7132,0,0,0.169052,0.156132,ok_autocorr,0.169052,0.155925,0.154823,0.0011,2.9226,exp_psd_svd,1.0,0
21,HU12,6.0,0.155925,1.6448,1.716,10.2962,3.5199,2.93,6.7978,0.6932,0.168553,0.156956,1.6557,0.787,two-IM(Sd+PGA),0.7781,0,0,0.179437,0.161585,ok_autocorr,0.179437,0.156956,0.158477,0.0019,2.9226,exp_psd_svd,1.0,0
22,FR76,1.0,0.156956,1.6557,4.2243,4.2243,1.4325,2.95,2.7876,0.2843,0.069602,0.156637,1.6523,0.695,two-IM(Sd+PGA),0.352,0,0,0.153458,0.155544,ok_autocorr,0.153458,0.156637,0.156694,0.0004,2.9233,exp_psd_svd,1.0,0
23,FR76,1.5,0.156637,1.6523,4.2084,6.3126,2.1487,2.94,4.18,0.4262,0.104145,0.156574,1.6516,0.695,two-IM(Sd+PGA),0.5279,0,0,0.166252,0.155944,ok_autocorr,0.166252,0.156574,0.156169,0.001,2.9229,exp_psd_svd,1.0,0
24,FR76,1.75,0.156574,1.6516,4.2053,7.3592,2.5069,2.94,4.8764,0.4973,0.121446,0.156963,1.6557,0.695,two-IM(Sd+PGA),0.6159,0,0,0.173942,0.158746,ok_autocorr,0.173942,0.156963,0.157498,0.0014,2.9233,exp_psd_svd,1.0,0
25,FR76,2.0,0.156963,1.6557,4.2246,8.4492,2.865,2.95,5.5752,0.5685,0.139212,0.157325,1.6595,0.695,two-IM(Sd+PGA),0.7039,0,0,0.182549,0.162865,ok_autocorr,0.182549,0.157325,0.159618,0.002,2.9229,exp_psd_svd,1.0,0
