         time tiltx_beam... 
 3.036923e-02  1.123242e-01 
 3.077307e-02  1.140951e-01 
 3.117692e-02  1.158208e-01 
 3.158076e-02  1.174678e-01 
 3.198461e-02  1.190076e-01 
 3.238846e-02  1.204370e-01 
 3.279230e-02  1.217498e-01 
 3.319615e-02  1.229540e-01 
 3.359999e-02  1.240622e-01 
 3.400384e-02  1.250759e-01 
 3.440769e-02  1.259950e-01 
 3.481153e-02  1.268476e-01 
 3.521538e-02  1.276307e-01 
 3.561922e-02  1.283415e-01 
 3.602307e-02  1.289654e-01 
 3.642692e-02  1.294855e-01 
 3.683076e-02  1.298857e-01 
 3.723461e-02  1.301731e-01 
 3.763846e-02  1.303546e-01 
 3.804230e-02  1.304143e-01 
 3.844615e-02  1.303506e-01 
 3.884999e-02  1.301522e-01 
 3.925384e-02  1.298045e-01 
 3.965769e-02  1.293140e-01 
 4.006153e-02  1.286812e-01 
 4.046538e-02  1.279107e-01 
 4.086922e-02  1.269983e-01 
 4.127307e-02  1.259432e-01 
 4.167692e-02  1.247675e-01 
 4.208076e-02  1.234752e-01 
 4.248461e-02  1.220322e-01 
 4.288845e-02  1.204145e-01 
 4.329230e-02  1.186369e-01 
 4.369615e-02  1.167099e-01 
 4.409999e-02  1.146302e-01 
 4.450384e-02  1.124158e-01 
 4.490768e-02  1.100759e-01 
 4.531153e-02  1.076095e-01 
 4.571538e-02  1.050109e-01 
 4.611922e-02  1.022600e-01 
 4.652307e-02  9.934285e-02 
 4.692692e-02  9.624852e-02 
 4.733076e-02  9.295374e-02 
 4.773461e-02  8.943741e-02 
 4.813845e-02  8.571342e-02 
 4.854230e-02  8.179345e-02 
 4.894615e-02  7.769549e-02 
 4.934999e-02  7.344121e-02 
 4.975384e-02  6.905200e-02 
 5.015768e-02  6.453840e-02 
 5.056153e-02  5.990796e-02 
 5.096538e-02  5.514783e-02 
 5.136922e-02  5.023778e-02 
 5.177307e-02  4.517053e-02 
 5.217691e-02  3.993627e-02 
 5.258076e-02  3.452834e-02 
 5.298461e-02  2.894902e-02 
 5.338845e-02  2.317997e-02 
 5.379230e-02  1.722378e-02 
 5.419614e-02  1.110692e-02 
 5.459999e-02  4.856777e-03 
 5.500384e-02 -1.506808e-03 
 5.540768e-02 -7.985502e-03 
 5.581153e-02 -1.457720e-02 
 5.621538e-02 -2.128454e-02 
 5.661922e-02 -2.811172e-02 
 5.702307e-02 -3.504762e-02 
 5.742691e-02 -4.209083e-02 
 5.783076e-02 -4.924460e-02 
 5.823461e-02 -5.650812e-02 
 5.863845e-02 -6.388032e-02 
 5.904230e-02 -7.135058e-02 
 5.944614e-02 -7.889812e-02 
 5.984999e-02 -8.652237e-02 
 6.025384e-02 -9.422128e-02 
 6.065768e-02 -1.019854e-01 
 6.106153e-02 -1.097425e-01 
 6.146537e-02 -1.174880e-01 
 6.186922e-02 -1.252110e-01 
 6.227307e-02 -1.329061e-01 
 6.267691e-02 -1.405681e-01 
 6.308076e-02 -1.481590e-01 
 6.348460e-02 -1.556660e-01 
 6.388845e-02 -1.630980e-01 
 6.429230e-02 -1.704739e-01 
 6.469614e-02 -1.778032e-01 
 6.509999e-02 -1.850744e-01 
 6.550384e-02 -1.922776e-01 
 6.590768e-02 -1.994148e-01 
 6.631153e-02 -2.064672e-01 
 6.671537e-02 -2.134301e-01 
 6.711922e-02 -2.203178e-01 
 6.752307e-02 -2.271570e-01 
 6.792691e-02 -2.339578e-01 
 6.833076e-02 -2.406976e-01 
 6.873460e-02 -2.473687e-01 
 6.913845e-02 -2.539496e-01 
 6.954230e-02 -2.604110e-01 
 6.994614e-02 -2.667718e-01 
 7.034999e-02 -2.730401e-01 
 7.075383e-02 -2.792293e-01 
 7.115768e-02 -2.853176e-01 
 7.156153e-02 -2.912992e-01 
 7.196537e-02 -2.972027e-01 
 7.236922e-02 -3.030159e-01 
 7.277306e-02 -3.087212e-01 
 7.317691e-02 -3.143314e-01 
 7.358076e-02 -3.198330e-01 
 7.398460e-02 -3.251828e-01 
 7.438845e-02 -3.303529e-01 
 7.479230e-02 -3.353610e-01 
 7.519614e-02 -3.402458e-01 
 7.559999e-02 -3.450088e-01 
 7.600383e-02 -3.496389e-01 
 7.640768e-02 -3.541151e-01 
 7.681153e-02 -3.584418e-01 
 7.721537e-02 -3.626048e-01 
 7.761922e-02 -3.665924e-01 
 7.802306e-02 -3.704231e-01 
 7.842691e-02 -3.740980e-01 
 7.883076e-02 -3.776044e-01 
 7.923460e-02 -3.809508e-01 
 7.963845e-02 -3.841262e-01 
 8.004229e-02 -3.871013e-01 
 8.044614e-02 -3.898869e-01 
 8.084999e-02 -3.924978e-01 
 8.125383e-02 -3.949377e-01 
 8.165768e-02 -3.972070e-01 
 8.206152e-02 -3.993290e-01 
 8.246537e-02 -4.012820e-01 
 8.286922e-02 -4.030561e-01 
 8.327306e-02 -4.046453e-01 
 8.367691e-02 -4.060301e-01 
 8.408076e-02 -4.072129e-01 
 8.448460e-02 -4.082031e-01 
 8.488845e-02 -4.089929e-01 
 8.529229e-02 -4.095542e-01 
 8.569614e-02 -4.098985e-01 
 8.609999e-02 -4.100323e-01 
 8.650383e-02 -4.099582e-01 
 8.690768e-02 -4.096752e-01 
 8.731152e-02 -4.091861e-01 
 8.771537e-02 -4.084802e-01 
 8.811922e-02 -4.075595e-01 
 8.852306e-02 -4.064115e-01 
 8.892691e-02 -4.050124e-01 
 8.933075e-02 -4.033612e-01 
 8.973460e-02 -4.014778e-01 
 9.013845e-02 -3.993631e-01 
 9.054229e-02 -3.970128e-01 
 9.094614e-02 -3.944250e-01 
 9.134998e-02 -3.916073e-01 
 9.175383e-02 -3.885871e-01 
 9.215768e-02 -3.853935e-01 
 9.256152e-02 -3.820535e-01 
 9.296537e-02 -3.785866e-01 
 9.336922e-02 -3.749912e-01 
 9.377306e-02 -3.712476e-01 
 9.417691e-02 -3.673306e-01 
 9.458075e-02 -3.632209e-01 
 9.498460e-02 -3.589163e-01 
 9.538845e-02 -3.544107e-01 
 9.579229e-02 -3.497070e-01 
 9.619614e-02 -3.448094e-01 
 9.659998e-02 -3.397244e-01 
 9.700383e-02 -3.344820e-01 
 9.740768e-02 -3.290999e-01 
 9.781152e-02 -3.235863e-01 
 9.821537e-02 -3.179326e-01 
 9.861921e-02 -3.121478e-01 
 9.902306e-02 -3.062458e-01 
 9.942691e-02 -3.002358e-01 
 9.983075e-02 -2.941201e-01 
 1.002346e-01 -2.878974e-01 
 1.006384e-01 -2.815778e-01 
 1.010423e-01 -2.751638e-01 
 1.014461e-01 -2.686517e-01 
 1.018500e-01 -2.620217e-01 
 1.022538e-01 -2.552969e-01 
 1.026577e-01 -2.485103e-01 
 1.030615e-01 -2.416842e-01 
 1.034654e-01 -2.348464e-01 
 1.038692e-01 -2.280210e-01 
 1.042731e-01 -2.212117e-01 
 1.046769e-01 -2.144092e-01 
 1.050808e-01 -2.076062e-01 
 1.054846e-01 -2.007952e-01 
 1.058884e-01 -1.939685e-01 
 1.062923e-01 -1.871279e-01 
 1.066961e-01 -1.802744e-01 
 1.071000e-01 -1.734094e-01 
 1.075038e-01 -1.665362e-01 
 1.079077e-01 -1.596853e-01 
 1.083115e-01 -1.528656e-01 
 1.087154e-01 -1.460754e-01 
 1.091192e-01 -1.392964e-01 
 1.095231e-01 -1.325099e-01 
 1.099269e-01 -1.256983e-01 
 1.103308e-01 -1.188824e-01 
 1.107346e-01 -1.120719e-01 
 1.111384e-01 -1.052748e-01 
 1.115423e-01 -9.851618e-02 
 1.119461e-01 -9.182625e-02 
 1.123500e-01 -8.520199e-02 
 1.127538e-01 -7.863116e-02 
 1.131577e-01 -7.210380e-02 
 1.135615e-01 -6.563011e-02 
 1.139654e-01 -5.919697e-02 
 1.143692e-01 -5.279824e-02 
 1.147731e-01 -4.643262e-02 
 1.151769e-01 -4.008496e-02 
 1.155808e-01 -3.373252e-02 
 1.159846e-01 -2.736508e-02 
 1.163884e-01 -2.099314e-02 
 1.167923e-01 -1.463213e-02 
 1.171961e-01 -8.307256e-03 
 1.176000e-01 -2.039412e-03 
 1.180038e-01  4.154624e-03 
 1.184077e-01  1.027111e-02 
 1.188115e-01  1.629087e-02 
 1.192154e-01  2.221354e-02 
 1.196192e-01  2.804898e-02 
 1.200231e-01  3.381881e-02 
 1.204269e-01  3.952525e-02 
 1.208307e-01  4.515674e-02 
 1.212346e-01  5.072712e-02 
 1.216384e-01  5.623053e-02 
 1.220423e-01  6.168233e-02 
 1.224461e-01  6.710263e-02 
 1.228500e-01  7.249757e-02 
 1.232538e-01  7.787891e-02 
 1.236577e-01  8.324108e-02 
 1.240615e-01  8.857299e-02 
 1.244654e-01  9.385805e-02 
 1.248692e-01  9.906391e-02 
 1.252731e-01  1.041702e-01 
 1.256769e-01  1.091588e-01 
 1.260807e-01  1.140445e-01 
 1.264846e-01  1.188356e-01 
 1.268884e-01  1.235258e-01 
 1.272923e-01  1.281380e-01 
 1.276961e-01  1.326742e-01 
 1.281000e-01  1.371449e-01 
 1.285038e-01  1.415441e-01 
 1.289077e-01  1.458683e-01 
 1.293115e-01  1.501415e-01 
 1.297154e-01  1.543699e-01 
 1.301192e-01  1.585364e-01 
 1.305231e-01  1.626265e-01 
 1.309269e-01  1.666534e-01 
 1.313307e-01  1.706056e-01 
 1.317346e-01  1.744666e-01 
 1.321384e-01  1.781873e-01 
 1.325423e-01  1.817508e-01 
 1.329461e-01  1.851523e-01 
 1.333500e-01  1.883771e-01 
 1.337538e-01  1.914607e-01 
 1.341577e-01  1.944564e-01 
 1.345615e-01  1.973985e-01 
 1.349654e-01  2.003285e-01 
 1.353692e-01  2.032427e-01 
 1.357731e-01  2.061158e-01 
 1.361769e-01  2.089153e-01 
 1.365807e-01  2.116112e-01 
 1.369846e-01  2.141878e-01 
 1.373884e-01  2.166449e-01 
 1.377923e-01  2.189590e-01 
 1.381961e-01  2.211427e-01 
 1.386000e-01  2.231774e-01 
 1.390038e-01  2.250737e-01 
 1.394077e-01  2.268496e-01 
 1.398115e-01  2.284909e-01 
 1.402154e-01  2.299998e-01 
 1.406192e-01  2.313904e-01 
 1.410231e-01  2.326397e-01 
 1.414269e-01  2.337928e-01 
 1.418307e-01  2.348661e-01 
 1.422346e-01  2.358673e-01 
 1.426384e-01  2.368046e-01 
 1.430423e-01  2.376877e-01 
 1.434461e-01  2.385350e-01 
 1.438500e-01  2.393214e-01 
 1.442538e-01  2.400735e-01 
 1.446577e-01  2.408049e-01 
 1.450615e-01  2.414775e-01 
 1.454654e-01  2.420661e-01 
