         time tiltx_bot_... 
 1.802850e+00  1.309282e-02 
 1.803254e+00  1.308323e-02 
 1.803657e+00  1.312671e-02 
 1.804061e+00  1.323514e-02 
 1.804465e+00  1.341738e-02 
 1.804869e+00  1.368175e-02 
 1.805273e+00  1.402150e-02 
 1.805677e+00  1.442715e-02 
 1.806080e+00  1.487363e-02 
 1.806484e+00  1.533629e-02 
 1.806888e+00  1.578272e-02 
 1.807292e+00  1.619036e-02 
 1.807696e+00  1.653529e-02 
 1.808100e+00  1.680007e-02 
 1.808504e+00  1.697244e-02 
 1.808907e+00  1.705360e-02 
 1.809311e+00  1.704542e-02 
 1.809715e+00  1.695181e-02 
 1.810119e+00  1.678224e-02 
 1.810523e+00  1.655129e-02 
 1.810927e+00  1.627576e-02 
 1.811330e+00  1.597051e-02 
 1.811734e+00  1.563615e-02 
 1.812138e+00  1.527951e-02 
 1.812542e+00  1.489911e-02 
 1.812946e+00  1.449422e-02 
 1.813350e+00  1.405242e-02 
 1.813754e+00  1.356849e-02 
 1.814157e+00  1.302557e-02 
 1.814561e+00  1.240451e-02 
 1.814965e+00  1.168254e-02 
 1.815369e+00  1.084341e-02 
 1.815773e+00  9.873445e-03 
 1.816177e+00  8.765768e-03 
 1.816580e+00  7.524614e-03 
 1.816984e+00  6.166229e-03 
 1.817388e+00  4.706398e-03 
 1.817792e+00  3.170044e-03 
 1.818196e+00  1.580663e-03 
 1.818600e+00 -3.962088e-05 
 1.819004e+00 -1.676648e-03 
 1.819407e+00 -3.320583e-03 
 1.819811e+00 -4.955010e-03 
 1.820215e+00 -6.556426e-03 
 1.820619e+00 -8.114301e-03 
 1.821023e+00 -9.615594e-03 
 1.821427e+00 -1.104483e-02 
 1.821830e+00 -1.239560e-02 
 1.822234e+00 -1.365585e-02 
 1.822638e+00 -1.481048e-02 
 1.823042e+00 -1.585598e-02 
 1.823446e+00 -1.678121e-02 
 1.823850e+00 -1.758662e-02 
 1.824254e+00 -1.827305e-02 
 1.824657e+00 -1.883654e-02 
 1.825061e+00 -1.928059e-02 
 1.825465e+00 -1.960494e-02 
 1.825869e+00 -1.981842e-02 
 1.826273e+00 -1.993205e-02 
 1.826677e+00 -1.995934e-02 
 1.827080e+00 -1.991753e-02 
 1.827484e+00 -1.982397e-02 
 1.827888e+00 -1.969508e-02 
 1.828292e+00 -1.953034e-02 
 1.828696e+00 -1.933167e-02 
 1.829100e+00 -1.908250e-02 
 1.829504e+00 -1.876609e-02 
 1.829907e+00 -1.835885e-02 
 1.830311e+00 -1.784344e-02 
 1.830715e+00 -1.721128e-02 
 1.831119e+00 -1.645523e-02 
 1.831523e+00 -1.556989e-02 
 1.831927e+00 -1.455552e-02 
 1.832330e+00 -1.340860e-02 
 1.832734e+00 -1.213284e-02 
 1.833138e+00 -1.073922e-02 
 1.833542e+00 -9.256309e-03 
 1.833946e+00 -7.708141e-03 
 1.834350e+00 -6.133563e-03 
 1.834754e+00 -4.563076e-03 
 1.835157e+00 -3.029806e-03 
 1.835561e+00 -1.554980e-03 
 1.835965e+00 -1.610395e-04 
 1.836369e+00  1.146641e-03 
 1.836773e+00  2.372965e-03 
 1.837177e+00  3.519442e-03 
 1.837580e+00  4.591901e-03 
 1.837984e+00  5.597774e-03 
