run,record,scale,T_excite,T_over_Tinit,Sd_record_mm,Sd_target_mm,Sd_fixedT1_mm,amplification,A_mps2,PGA_g,V_peak_mps,T_end,T_end_over_Tinit,n_cycles_used,ncyc_source,A_record_g,T_id_held,T_jump_flag,T_acorr,T_fft,tid_note,beta_applied,s_applied
12,HU12,2.25,0.099982,1.0547,0.695,1.5636,1.32,1.18,2.5001,0.2549,0.039784,0.102365,1.0798,0.774,two-IM(Sd+PGA),0.2918,0,0,0.102365,0.101086,ok_autocorr,1.0,0
13,HU12,2.5,0.102365,1.0798,0.751,1.8775,1.4666,1.28,2.8724,0.2929,0.046766,0.10453,1.1026,0.801,two-IM(Sd+PGA),0.3242,0,0,0.10453,0.102146,ok_autocorr,1.0,0
14,HU12,2.75,0.10453,1.1026,0.802,2.2054,1.6133,1.37,3.2748,0.3339,0.054355,0.112501,1.1867,0.823,two-IM(Sd+PGA),0.3566,0,0,0.112501,0.104899,ok_autocorr,1.0,0
15,HU12,3.0,0.112501,1.1867,0.9803,2.9408,1.76,1.67,4.0986,0.4179,0.073341,0.104097,1.0981,0.875,two-IM(Sd+PGA),0.389,0,0,0.119541,0.108251,ok_autocorr,1.0,0
16,HU12,3.5,0.104097,1.0981,0.7918,2.7712,2.0533,1.35,4.1687,0.4251,0.068934,0.12518,1.3205,0.819,two-IM(Sd+PGA),0.4539,0,0,0.12518,0.111393,ok_autocorr,1.0,0
17,HU12,4.0,0.12518,1.3205,1.2253,4.9012,2.3466,2.09,5.5134,0.5622,0.109672,0.117989,1.2446,0.885,two-IM(Sd+PGA),0.5187,0,0,0.155763,0.131301,ok_autocorr,1.0,0
18,HU12,4.5,0.117989,1.2446,1.0998,4.9489,2.6399,1.87,6.3196,0.6444,0.11863,0.122338,1.2905,0.896,two-IM(Sd+PGA),0.5836,0,0,0.159106,0.13573,ok_autocorr,1.0,0
19,HU12,5.0,0.122338,1.2905,1.1794,5.8968,2.9333,2.01,6.9788,0.7116,0.13582,0.163353,1.7231,0.893,two-IM(Sd+PGA),0.6484,0,0,0.163353,0.143464,ok_autocorr,1.0,0
20,HU12,5.5,0.163353,1.7231,1.7622,9.6924,3.2266,3.0,5.7251,0.5838,0.148766,0.187225,1.9749,0.73,two-IM(Sd+PGA),0.7132,0,0,0.187225,0.152723,ok_autocorr,1.0,0
21,HU12,6.0,0.187225,1.9749,1.6458,9.8749,3.5199,2.81,8.1428,0.8303,0.242193,0.186265,1.9648,0.501,two-IM(Sd+PGA),0.7781,0,0,0.186265,0.150306,ok_autocorr,1.0,0
22,FR76,1.0,0.186265,1.9648,6.4264,6.4264,1.4325,4.49,2.9072,0.2965,0.08618,0.152355,1.6071,0.758,two-IM(Sd+PGA),0.352,0,0,0.152355,0.141457,ok_autocorr,1.0,0
23,FR76,1.5,0.152355,1.6071,4.019,6.0285,2.1487,2.81,4.2877,0.4372,0.103645,0.124249,1.3106,0.703,two-IM(Sd+PGA),0.5279,0,0,0.163923,0.144634,ok_autocorr,1.0,0
24,FR76,1.75,0.124249,1.3106,2.5482,4.4593,2.5069,1.78,4.8325,0.4928,0.095425,0.125879,1.3278,0.666,two-IM(Sd+PGA),0.6159,0,0,0.158366,0.144274,ok_autocorr,1.0,0
25,FR76,2.0,0.125879,1.3278,2.704,5.408,2.865,1.89,5.8041,0.5919,0.115968,0.135699,1.4314,0.691,two-IM(Sd+PGA),0.7039,0,0,0.164548,0.145605,ok_autocorr,1.0,0
