         time bulge_top_... 
 1.033038e-01  1.293309e-02 
 1.037077e-01  1.340986e-02 
 1.041115e-01  1.393673e-02 
 1.045154e-01  1.427532e-02 
 1.049192e-01  1.450600e-02 
 1.053231e-01  1.441431e-02 
 1.057269e-01  1.437937e-02 
 1.061308e-01  1.471069e-02 
 1.065346e-01  1.546371e-02 
 1.069384e-01  1.668361e-02 
 1.073423e-01  1.818943e-02 
 1.077461e-01  1.986996e-02 
 1.081500e-01  2.160398e-02 
 1.085538e-01  2.353671e-02 
 1.089577e-01  2.568874e-02 
 1.093615e-01  2.765877e-02 
 1.097654e-01  2.923729e-02 
 1.101692e-01  3.034675e-02 
 1.105731e-01  3.062533e-02 
 1.109769e-01  3.010756e-02 
 1.113808e-01  2.904241e-02 
 1.117846e-01  2.757433e-02 
 1.121884e-01  2.591625e-02 
 1.125923e-01  2.423092e-02 
 1.129961e-01  2.279001e-02 
 1.134000e-01  2.144595e-02 
 1.138038e-01  2.023130e-02 
 1.142077e-01  1.916747e-02 
 1.146115e-01  1.838473e-02 
 1.150154e-01  1.801742e-02 
 1.154192e-01  1.796146e-02 
 1.158231e-01  1.803781e-02 
 1.162269e-01  1.796129e-02 
 1.166307e-01  1.770296e-02 
 1.170346e-01  1.707696e-02 
 1.174384e-01  1.614184e-02 
 1.178423e-01  1.480648e-02 
 1.182461e-01  1.305100e-02 
 1.186500e-01  1.086069e-02 
 1.190538e-01  8.160091e-03 
 1.194577e-01  5.286901e-03 
 1.198615e-01  2.493628e-03 
 1.202654e-01  2.729983e-04 
 1.206692e-01 -1.311617e-03 
 1.210731e-01 -2.262562e-03 
 1.214769e-01 -2.589168e-03 
 1.218807e-01 -2.766641e-03 
 1.222846e-01 -2.758175e-03 
 1.226884e-01 -2.783202e-03 
 1.230923e-01 -2.784550e-03 
 1.234961e-01 -2.723254e-03 
 1.239000e-01 -2.487050e-03 
 1.243038e-01 -1.951299e-03 
 1.247077e-01 -9.874431e-04 
 1.251115e-01  3.349825e-04 
 1.255154e-01  1.878582e-03 
 1.259192e-01  3.167469e-03 
 1.263231e-01  4.196104e-03 
 1.267269e-01  4.968645e-03 
 1.271307e-01  5.566852e-03 
 1.275346e-01  6.142198e-03 
 1.279384e-01  6.988237e-03 
 1.283423e-01  8.360419e-03 
 1.287461e-01  1.026449e-02 
 1.291500e-01  1.257652e-02 
 1.295538e-01  1.510249e-02 
 1.299577e-01  1.777898e-02 
 1.303615e-01  1.985589e-02 
 1.307654e-01  2.143176e-02 
 1.311692e-01  2.264276e-02 
 1.315731e-01  2.316843e-02 
 1.319769e-01  2.309798e-02 
 1.323807e-01  2.244181e-02 
 1.327846e-01  2.148254e-02 
 1.331884e-01  2.074246e-02 
 1.335923e-01  2.007922e-02 
 1.339961e-01  2.027232e-02 
 1.344000e-01  2.077842e-02 
 1.348038e-01  2.255367e-02 
 1.352077e-01  2.484734e-02 
 1.356115e-01  2.799486e-02 
 1.360154e-01  3.173927e-02 
 1.364192e-01  3.582381e-02 
 1.368231e-01  4.019975e-02 
 1.372269e-01  4.448136e-02 
 1.376307e-01  4.832918e-02 
 1.380346e-01  5.140657e-02 
 1.384384e-01  5.388299e-02 
 1.388423e-01  5.529422e-02 
 1.392461e-01  5.553904e-02 
 1.396500e-01  5.491784e-02 
 1.400538e-01  5.324205e-02 
 1.404577e-01  5.057327e-02 
 1.408615e-01  4.765837e-02 
 1.412654e-01  4.439006e-02 
 1.416692e-01  4.119955e-02 
 1.420731e-01  3.800762e-02 
 1.424769e-01  3.516699e-02 
 1.428807e-01  3.231520e-02 
 1.432846e-01  3.004031e-02 
 1.436884e-01  2.777596e-02 
 1.440923e-01  2.580954e-02 
 1.444961e-01  2.396719e-02 
 1.449000e-01  2.306645e-02 
 1.453038e-01  2.248058e-02 
 1.457077e-01  2.249261e-02 
 1.461115e-01  2.273648e-02 
 1.465154e-01  2.309316e-02 
 1.469192e-01  2.367922e-02 
 1.473231e-01  2.452027e-02 
 1.477269e-01  2.563283e-02 
 1.481307e-01  2.656670e-02 
 1.485346e-01  2.789246e-02 
 1.489384e-01  2.898572e-02 
 1.493423e-01  2.986759e-02 
 1.497461e-01  3.037506e-02 
 1.501500e-01  3.037638e-02 
 1.505538e-01  2.976397e-02 
 1.509577e-01  2.909939e-02 
 1.513615e-01  2.786826e-02 
 1.517654e-01  2.581850e-02 
 1.521692e-01  2.334489e-02 
 1.525731e-01  2.065081e-02 
 1.529769e-01  1.804492e-02 
 1.533807e-01  1.563734e-02 
 1.537846e-01  1.330708e-02 
 1.541884e-01  1.096032e-02 
 1.545923e-01  8.484804e-03 
 1.549961e-01  6.552648e-03 
 1.554000e-01  4.821119e-03 
 1.558038e-01  3.810450e-03 
 1.562077e-01  4.146097e-03 
 1.566115e-01  5.763876e-03 
 1.570154e-01  8.738971e-03 
 1.574192e-01  1.268139e-02 
 1.578231e-01  1.798087e-02 
 1.582269e-01  2.386180e-02 
 1.586307e-01  3.068506e-02 
 1.590346e-01  3.757472e-02 
 1.594384e-01  4.287690e-02 
 1.598423e-01  4.666556e-02 
 1.602461e-01  4.860639e-02 
 1.606500e-01  4.858171e-02 
