         time tiltx_full... 
 2.235089e-02 -2.508354e-03 
 2.267388e-02 -2.816551e-03 
 2.299688e-02 -3.119379e-03 
 2.331988e-02 -3.417921e-03 
 2.364287e-02 -3.712341e-03 
 2.396587e-02 -4.002474e-03 
 2.428887e-02 -4.288665e-03 
 2.461186e-02 -4.571839e-03 
 2.493486e-02 -4.853976e-03 
 2.525786e-02 -5.134892e-03 
 2.558085e-02 -5.414644e-03 
 2.590385e-02 -5.691657e-03 
 2.622685e-02 -5.965637e-03 
 2.654984e-02 -6.235301e-03 
 2.687284e-02 -6.500705e-03 
 2.719584e-02 -6.760356e-03 
 2.751884e-02 -7.012960e-03 
 2.784183e-02 -7.257194e-03 
 2.816483e-02 -7.492702e-03 
 2.848783e-02 -7.720746e-03 
 2.881083e-02 -7.943529e-03 
 2.913382e-02 -8.162276e-03 
 2.945682e-02 -8.376117e-03 
 2.977982e-02 -8.583609e-03 
 3.010282e-02 -8.784153e-03 
 3.042582e-02 -8.978228e-03 
 3.074882e-02 -9.163253e-03 
 3.107181e-02 -9.339130e-03 
 3.139481e-02 -9.504705e-03 
 3.171781e-02 -9.658831e-03 
 3.204081e-02 -9.800553e-03 
 3.236381e-02 -9.929513e-03 
 3.268681e-02 -1.004603e-02 
 3.300981e-02 -1.015033e-02 
 3.333281e-02 -1.024189e-02 
 3.365581e-02 -1.032298e-02 
 3.397881e-02 -1.039401e-02 
 3.430181e-02 -1.045614e-02 
 3.462481e-02 -1.050902e-02 
 3.494781e-02 -1.055291e-02 
 3.527081e-02 -1.058661e-02 
 3.559381e-02 -1.060947e-02 
 3.591681e-02 -1.061784e-02 
 3.623981e-02 -1.061184e-02 
 3.656281e-02 -1.058960e-02 
 3.688581e-02 -1.055272e-02 
 3.720882e-02 -1.049874e-02 
 3.753182e-02 -1.042790e-02 
 3.785482e-02 -1.033957e-02 
 3.817782e-02 -1.023115e-02 
 3.850082e-02 -1.010436e-02 
 3.882382e-02 -9.960492e-03 
 3.914682e-02 -9.802451e-03 
 3.946982e-02 -9.631474e-03 
 3.979282e-02 -9.446465e-03 
 4.011582e-02 -9.247461e-03 
 4.043883e-02 -9.034808e-03 
 4.076183e-02 -8.806580e-03 
 4.108483e-02 -8.561113e-03 
 4.140783e-02 -8.299265e-03 
 4.173083e-02 -8.019640e-03 
 4.205383e-02 -7.719855e-03 
 4.237683e-02 -7.401098e-03 
 4.269983e-02 -7.060728e-03 
 4.302282e-02 -6.720386e-03 
 4.334580e-02 -6.339284e-03 
 4.366878e-02 -5.938555e-03 
 4.399177e-02 -5.520814e-03 
 4.431475e-02 -5.088563e-03 
 4.463773e-02 -4.641404e-03 
 4.496072e-02 -4.181209e-03 
 4.528370e-02 -3.706830e-03 
 4.560668e-02 -3.217127e-03 
 4.592967e-02 -2.711829e-03 
 4.625265e-02 -2.189783e-03 
 4.657563e-02 -1.651101e-03 
 4.689861e-02 -1.094732e-03 
 4.722160e-02 -5.222367e-04 
 4.754458e-02  6.732226e-05 
 4.786756e-02  6.738205e-04 
 4.819054e-02  1.296736e-03 
 4.851353e-02  1.934199e-03 
 4.883651e-02  2.583926e-03 
 4.915949e-02  3.243605e-03 
 4.948247e-02  3.910631e-03 
 4.980546e-02  4.587100e-03 
 5.012844e-02  5.273850e-03 
 5.045142e-02  5.971442e-03 
 5.077441e-02  6.682556e-03 
 5.109739e-02  7.406385e-03 
 5.142037e-02  8.144419e-03 
 5.174335e-02  8.895452e-03 
 5.206634e-02  9.658668e-03 
 5.238932e-02  1.043384e-02 
 5.271230e-02  1.122000e-02 
 5.303529e-02  1.201373e-02 
 5.335827e-02  1.281376e-02 
 5.368125e-02  1.362052e-02 
 5.400424e-02  1.443213e-02 
 5.432722e-02  1.524791e-02 
 5.465020e-02  1.606772e-02 
 5.497319e-02  1.688971e-02 
