d_ctrl_mm,F_base_kN,F_appl_kN,KE_frac,maxvel_mms
9.7331,2.6483,2.7436,0.0,0.1193
9.7731,2.6618,2.7555,0.0,0.0956
9.8117,2.6716,2.7674,0.0,0.1302
9.854,2.6799,2.7755,0.0,0.0967
9.8912,2.6916,2.7912,0.0,0.1381
9.933,2.6985,2.7933,0.0,0.1016
9.9718,2.7058,2.8064,0.0,0.0842
10.0142,2.7223,2.8124,0.0,0.0961
10.0505,2.7293,2.8297,0.0,0.088
10.0879,2.7507,2.8493,0.0,0.1001
10.1288,2.7622,2.8551,0.0,0.1066
10.165,2.7745,2.8769,0.0,0.106
10.2066,2.7881,2.8875,0.0,0.0945
10.2454,2.7964,2.8944,0.0,0.1273
10.2855,2.8089,2.9121,0.0,0.093
10.328,2.8165,2.9092,0.0,0.1021
10.3667,2.8266,2.9244,0.0,0.0984
10.4056,2.8414,2.9381,0.0,0.1069
10.4474,2.8467,2.9417,0.0,0.0932
10.4863,2.863,2.9554,0.0,0.1078
10.524,2.8732,2.9721,0.0,0.1185
10.5633,2.8833,2.9841,0.0,0.1125
10.6054,2.8888,2.9876,0.0,0.1078
10.6457,2.9058,2.9965,0.0,0.0987
10.6841,2.9135,3.0123,0.0,0.0914
10.7241,2.9187,3.0163,0.0,0.1277
10.7642,2.9306,3.0257,0.0,0.099
10.8016,2.9473,3.048,0.0,0.0944
10.8427,2.953,3.0471,0.0,0.0969
10.8774,2.9638,3.0646,0.0,0.1322
10.9209,2.9676,3.0645,0.0,0.0939
10.9598,2.9793,3.0727,0.0,0.0976
10.9957,2.9823,3.0817,0.0,0.1105
11.0344,2.9948,3.0963,0.0,0.0939
11.0696,2.9983,3.1022,0.0,0.1274
11.1088,3.0116,3.1262,0.0,0.1271
11.1422,3.0164,3.1418,0.0,0.0963
11.1774,3.0185,3.1571,0.0,0.0947
11.2245,3.0319,3.1442,0.0,0.0975
11.2626,3.0376,3.1508,0.0,0.1092
11.3015,3.0481,3.1922,0.0,0.1051
11.3355,3.0595,3.197,0.0,0.0899
11.362,3.0503,3.2023,0.0,0.1309
11.3948,3.0584,3.2157,0.0,0.0904
11.4274,3.0514,3.2013,0.0,0.0952
11.4083,2.9235,3.0603,0.0,0.0916
11.4128,2.9366,3.1008,0.0,0.1275
11.4165,2.9169,3.057,0.0,0.0994
11.443,2.9135,3.0912,0.0,0.1019
11.4866,2.9081,3.073,0.0,0.123
11.5063,2.9252,3.1312,0.0,0.1089
11.5364,2.9178,3.1513,0.0,0.1101
11.599,2.942,3.0951,0.0,0.0982
11.6369,2.9503,3.1029,0.0,0.098
11.6737,2.9616,3.1094,0.0,0.1049
11.7062,2.9604,3.1061,0.0,0.0994
11.7415,2.962,3.1168,0.0,0.0973
11.7801,2.9708,3.1182,0.0,0.0985
11.8144,2.9767,3.1249,0.0,0.0922
11.8472,2.9795,3.127,0.0,0.0994
11.8859,2.9835,3.1275,0.0,0.1002
11.9207,2.9909,3.1366,0.0,0.0984
11.9594,2.9962,3.1404,0.0,0.0956
11.9936,3.0041,3.1493,0.0,0.0998
12.0199,2.9997,3.1484,0.0,0.0966
12.0411,2.9867,3.1391,0.0,2.3327
12.0658,2.9689,3.1162,0.0,0.099
12.0909,2.964,3.1052,0.0,0.0941
12.1061,2.9466,3.0797,0.0,0.1041
12.121,2.9155,3.0518,0.0,0.0927
12.1268,2.8905,2.9933,0.0,0.0975
12.103,2.794,2.8859,0.0,0.2086
12.0853,2.7353,2.8576,0.0,0.0969
12.0944,2.7064,2.8377,0.0,0.0967
12.1006,2.6698,2.8121,0.0,0.095
12.1222,2.6671,2.8162,0.0,0.1172
12.1472,2.6564,2.8123,0.0,0.0884
12.1517,2.6251,2.7851,0.0,0.0996
12.1747,2.6113,2.7672,0.0,0.0904
12.1888,2.5922,2.7387,0.0,0.093
12.2007,2.5673,2.7167,0.0,0.0951
12.2152,2.5451,2.6878,0.0,0.0865
12.2212,2.5123,2.662,0.0,0.0944
12.2346,2.494,2.6596,0.0,0.0945
12.2597,2.4794,2.6387,0.0,0.0983
12.2544,2.4405,2.5728,0.0,0.0964
12.2659,2.413,2.5533,0.0,0.2466
12.2693,2.3743,2.513,0.0,0.0923
12.2779,2.3516,2.4871,0.0,0.0904
12.2965,2.3324,2.478,0.0,0.0996
12.314,2.3137,2.4589,0.0,0.094
12.3361,2.3002,2.4546,0.0,0.0902
12.3617,2.2908,2.4462,0.0,0.0996
12.383,2.2857,2.4572,0.0,0.1007
12.4152,2.2746,2.4377,0.0,0.098
12.4436,2.278,2.4356,0.0,0.1013
12.4724,2.2706,2.431,0.0,0.099
12.5009,2.2684,2.4277,0.0,0.0955
12.5276,2.2658,2.4303,0.0,0.0926
12.5521,2.2587,2.4177,0.0,0.091
12.5769,2.2502,2.3917,0.0,0.1421
12.5861,2.2287,2.3756,0.0,0.0955
12.6075,2.2142,2.3645,0.0,0.0939
12.6337,2.2036,2.366,0.0,0.0937
12.6515,2.1933,2.3568,0.0,0.1425
12.6829,2.1929,2.3982,0.0,0.0916
12.712,2.1886,2.3754,0.0,0.0978
12.7345,2.1761,2.359,0.0,0.0933
12.7462,2.1567,2.3603,0.0,0.0953
12.768,2.1477,2.3519,0.0,0.09
12.7905,2.1363,2.3411,0.0,0.0906
12.8093,2.1252,2.3249,0.0,0.0915
12.8321,2.1109,2.3149,0.0,0.0963
12.8591,2.0994,2.3135,0.0,0.101
12.8901,2.0995,2.3156,0.0,0.1017
12.9125,2.0898,2.304,0.0,0.0999
12.9361,2.0831,2.2941,0.0,0.0946
12.9629,2.0766,2.2925,0.0,0.0987
12.9894,2.0752,2.2871,0.0,0.0874
13.0164,2.0666,2.2877,0.0,0.088
13.0484,2.0685,2.2803,0.0,0.0967
13.0782,2.0695,2.2861,0.0,0.0906
13.1081,2.0711,2.2856,0.0,0.0934
13.1408,2.0713,2.2818,0.0,0.097
13.1655,2.0721,2.2758,0.0,0.0962
13.1958,2.0651,2.2749,0.0,0.0997
13.2266,2.0676,2.2823,0.0,0.0826
13.2567,2.0664,2.2782,0.0,0.0986
13.2855,2.0648,2.2848,0.0,0.1
13.3159,2.0651,2.2902,0.0,0.0883
13.3412,2.0609,2.2867,0.0,0.096
13.3657,2.0563,2.2774,0.0,0.1154
13.3866,2.0472,2.2686,0.0,0.09
13.4126,2.0378,2.2571,0.0,0.0997
13.4381,2.0327,2.2566,0.0,0.0987
13.4642,2.0305,2.2557,0.0,0.0991
13.4936,2.0297,2.252,0.0,0.097
13.5219,2.0238,2.2478,0.0,0.0938
13.5431,2.0188,2.2385,0.0,0.0951
13.5591,2.0013,2.2192,0.0,0.0945
13.5878,1.9966,2.2168,0.0,0.1095
13.618,1.9978,2.2168,0.0,0.0961
13.648,1.9947,2.215,0.0,0.0925
13.6757,1.9943,2.2207,0.0,0.1008
13.7066,1.9929,2.2191,0.0,0.3501
13.7342,1.9896,2.2161,0.0,0.0976
13.7644,1.9916,2.2139,0.0,0.4553
13.7875,1.9827,2.2074,0.0,0.1025
13.8113,1.9854,2.1931,0.0,0.0952
13.8357,1.972,2.1925,0.0,0.1008
