T_s,Sd_m
3.950000000000002398e-01,4.152334042892722940e-03
4.000000000000002442e-01,4.234067683740801169e-03
4.050000000000002487e-01,4.305554190606416566e-03
4.100000000000002531e-01,4.366727685652188606e-03
4.150000000000002576e-01,4.415378173342130765e-03
4.200000000000002620e-01,4.451898830334967590e-03
4.250000000000002665e-01,4.477136003290979084e-03
4.300000000000002709e-01,4.492058977260626751e-03
4.350000000000002753e-01,4.497380242881095051e-03
4.400000000000002798e-01,4.495379944057839583e-03
4.450000000000002842e-01,4.485505593596212856e-03
4.500000000000002887e-01,4.466967018466596814e-03
4.550000000000002931e-01,4.440533894046571999e-03
4.600000000000002975e-01,4.445769871011908889e-03
4.650000000000003020e-01,4.465174076848959193e-03
4.700000000000003064e-01,4.479782470719327094e-03
4.750000000000003109e-01,4.487971034394106808e-03
4.800000000000003153e-01,4.489039289327458916e-03
4.850000000000003197e-01,4.487150678632650588e-03
4.900000000000003242e-01,4.479869273545601140e-03
4.950000000000003286e-01,4.464688608655548348e-03
5.000000000000000000e-01,4.443731989922121949e-03
5.100000000000000089e-01,4.396730066421157372e-03
5.200000000000000178e-01,4.485095423634493511e-03
5.300000000000000266e-01,4.560375037234963569e-03
5.400000000000000355e-01,4.619634999038227212e-03
5.500000000000000444e-01,4.661565369248743887e-03
5.600000000000000533e-01,4.691426469265807045e-03
5.700000000000000622e-01,4.701742965200398847e-03
5.800000000000000711e-01,4.699203894548776086e-03
5.900000000000000799e-01,4.683655818099891760e-03
6.000000000000000888e-01,4.653282271264599229e-03
6.100000000000000977e-01,4.614334757495604754e-03
6.200000000000001066e-01,4.560384074642286067e-03
6.300000000000001155e-01,4.501324134840338671e-03
6.400000000000001243e-01,4.428848974299565491e-03
6.500000000000001332e-01,4.353940667004207662e-03
6.600000000000001421e-01,4.267735349857747738e-03
6.700000000000001510e-01,4.180276339760231365e-03
6.800000000000001599e-01,4.083670591942335608e-03
6.900000000000001688e-01,3.985537219777612709e-03
7.000000000000001776e-01,3.880897000522072308e-03
7.100000000000001865e-01,3.774533894305322126e-03
7.200000000000001954e-01,3.677209917020241720e-03
7.300000000000002043e-01,3.698292628702440528e-03
7.400000000000002132e-01,3.717588611386190775e-03
7.500000000000002220e-01,3.736131701408335667e-03
7.600000000000002309e-01,3.751062634546489458e-03
7.700000000000002398e-01,3.762750237879825248e-03
7.800000000000002487e-01,3.774787774083306936e-03
7.900000000000002576e-01,3.783176701528582694e-03
8.000000000000002665e-01,3.788022064069159096e-03
8.100000000000002753e-01,3.789653678810248061e-03
8.200000000000002842e-01,3.791527035631743047e-03
8.300000000000002931e-01,3.790180538140114699e-03
8.400000000000003020e-01,3.785900373702073222e-03
8.500000000000003109e-01,3.778981381832244909e-03
8.600000000000003197e-01,3.769916655986312905e-03
8.700000000000003286e-01,3.761535399500406159e-03
8.800000000000003375e-01,3.751065094276759184e-03
8.900000000000003464e-01,3.738648629200150546e-03
9.000000000000003553e-01,3.724382493400322375e-03
9.100000000000003642e-01,3.708342353908554694e-03
9.200000000000003730e-01,3.690620406323227159e-03
9.300000000000003819e-01,3.673150260178524151e-03
9.400000000000003908e-01,3.654666344408372472e-03
9.500000000000003997e-01,3.634794369518323277e-03
9.600000000000004086e-01,3.613691635458108915e-03
9.700000000000004174e-01,3.591536944540543209e-03
9.800000000000004263e-01,3.568538897433753618e-03
9.900000000000004352e-01,3.544920729639190662e-03
1.000000000000000444e+00,3.520888991687699202e-03
1.010000000000000453e+00,3.497377263223485841e-03
1.020000000000000462e+00,3.474361324628672063e-03
1.030000000000000471e+00,3.451139010207707712e-03
1.040000000000000480e+00,3.427723002189861715e-03
1.050000000000000488e+00,3.404118726744111319e-03
1.060000000000000497e+00,3.380339711558696947e-03
1.070000000000000506e+00,3.356419533832498414e-03
1.080000000000000515e+00,3.332414575116040851e-03
1.090000000000000524e+00,3.308391698930449043e-03
1.100000000000000533e+00,3.284413972698525374e-03
1.110000000000000542e+00,3.260539960280721492e-03
1.120000000000000551e+00,3.236834277598784303e-03
1.130000000000000560e+00,3.213571530298356144e-03
1.140000000000000568e+00,3.191175911108890244e-03
1.150000000000000577e+00,3.169190532064908739e-03
1.160000000000000586e+00,3.147722016498419751e-03
1.170000000000000595e+00,3.126850335211239437e-03
1.180000000000000604e+00,3.107425329438548520e-03
1.190000000000000613e+00,3.102481983445558745e-03
1.200000000000000622e+00,3.096547103678276309e-03
1.210000000000000631e+00,3.088548212386880640e-03
1.220000000000000639e+00,3.080332122619305196e-03
1.230000000000000648e+00,3.070465849334530744e-03
1.240000000000000657e+00,3.058756469793823783e-03
1.250000000000000666e+00,3.046443360577264468e-03
1.260000000000000675e+00,3.033050274571799133e-03
1.270000000000000684e+00,3.018028710291529009e-03
1.280000000000000693e+00,3.001487487486160979e-03
1.290000000000000702e+00,2.984593549926379836e-03
1.300000000000000711e+00,2.966820695017421006e-03
1.310000000000000719e+00,2.947755949348487663e-03
1.320000000000000728e+00,2.927488187670725540e-03
1.330000000000000737e+00,2.906106567524016377e-03
1.340000000000000746e+00,2.884798858585842229e-03
1.350000000000000755e+00,2.862699093512542127e-03
1.360000000000000764e+00,2.839703212245372164e-03
1.370000000000000773e+00,2.815899231960349112e-03
1.380000000000000782e+00,2.792354941789190401e-03
1.390000000000000790e+00,2.779750340464812262e-03
1.400000000000000799e+00,2.767387862489392898e-03
1.410000000000000808e+00,2.755261565000795450e-03
1.420000000000000817e+00,2.743367638267587248e-03
1.430000000000000826e+00,2.731706533090227321e-03
1.440000000000000835e+00,2.720280737105289833e-03
1.450000000000000844e+00,2.709089405540060762e-03
1.460000000000000853e+00,2.698123543864134471e-03
1.470000000000000862e+00,2.687365204216985489e-03
1.480000000000000870e+00,2.676791401844705494e-03
1.490000000000000879e+00,2.666380280659918795e-03
1.500000000000000888e+00,2.656115712285357557e-03
1.510000000000000897e+00,2.645987760170568238e-03
1.520000000000000906e+00,2.635989200147231294e-03
1.530000000000000915e+00,2.626110635123077904e-03
1.540000000000000924e+00,2.616337297166610593e-03
1.550000000000000933e+00,2.606649341757823375e-03
1.560000000000000941e+00,2.597025354192292017e-03
1.570000000000000950e+00,2.587447200543715412e-03
1.580000000000000959e+00,2.581932278777838378e-03
1.590000000000000968e+00,2.582906533056411342e-03
1.600000000000000977e+00,2.583921793969384904e-03
1.610000000000000986e+00,2.584958926571548268e-03
1.620000000000000995e+00,2.586003593098550220e-03
1.630000000000001004e+00,2.587047021798703338e-03
1.640000000000001013e+00,2.588085571406638970e-03
1.650000000000001021e+00,2.589119603394116759e-03
1.660000000000001030e+00,2.590152140997035741e-03
1.670000000000001039e+00,2.591187664613602004e-03
1.680000000000001048e+00,2.592231260469459331e-03
1.690000000000001057e+00,2.593288218208800438e-03
1.700000000000001066e+00,2.594364039073663621e-03
1.710000000000001075e+00,2.595464665433958387e-03
1.720000000000001084e+00,2.596596619040437894e-03
1.730000000000001092e+00,2.597766712256167291e-03
1.740000000000001101e+00,2.598981124313551848e-03
1.750000000000001110e+00,2.600243897658137404e-03
1.760000000000001119e+00,2.601555217463558198e-03
1.770000000000001128e+00,2.602910059838648739e-03
1.780000000000001137e+00,2.604297818877512449e-03
1.790000000000001146e+00,2.605703309165652726e-03
1.800000000000001155e+00,2.607109142706141424e-03
1.810000000000001164e+00,2.608499027954838331e-03
1.820000000000001172e+00,2.609861191240241737e-03
1.830000000000001181e+00,2.611191002633219717e-03
1.840000000000001190e+00,2.612492047423635444e-03
1.850000000000001199e+00,2.613775276563637916e-03
1.860000000000001208e+00,2.615056376329782592e-03
1.870000000000001217e+00,2.616351968271400392e-03
1.880000000000001226e+00,2.617675551330421284e-03
1.890000000000001235e+00,2.619034151355889746e-03
1.900000000000001243e+00,2.620426446523129154e-03
1.910000000000001252e+00,2.621842756940634834e-03
1.920000000000001261e+00,2.623266833387421105e-03
1.930000000000001270e+00,2.624678973248860056e-03
1.940000000000001279e+00,2.626059727175166468e-03
1.950000000000001288e+00,2.627393387749373411e-03
1.960000000000001297e+00,2.628670568585437465e-03
1.970000000000001306e+00,2.629889440591891368e-03
1.980000000000001315e+00,2.631055516175093752e-03
1.990000000000001323e+00,2.632180181212004193e-03
2.000000000000001332e+00,2.633278402582451064e-03
