#Recording frequency [Hz],100,, 
#Number of samples,3633,, 
#pos [mm],vel [mm/s],acc [m/s2], Time in recording [s] 
-15.7529,118.6814,1.987506,4.64
-14.4818,134.0389,1.084005,4.65
-13.1014,140.6116,0.230535,4.66
-11.6965,139.1058,-0.531702,4.67
-10.3362,132.5233,-0.7848,4.68
-9.0477,125.4405,-0.631764,4.69
-7.8203,120.4815,-0.360027,4.7
-6.6332,116.9842,-0.339426,4.71
-5.4851,112.1528,-0.626859,4.72
-4.4009,104.089,-0.985905,4.73
-3.4124,93.2931,-1.173276,4.74
-2.5387,81.4034,-1.204668,4.75
-1.7852,69.2733,-1.221345,4.76
-1.1533,57.104,-1.212516,4.77
-0.6422,45.1849,-1.171314,4.78
-0.2481,33.7366,-1.11834,4.79
0.0344,22.8622,-1.056537,4.8
0.2115,12.6941,-0.977076,4.81
0.2924,3.7621,-0.809325,4.82
0.2947,-2.786,-0.50031,4.83
0.2457,-6.6365,-0.269775,4.84
0.1679,-8.7162,-0.146169,4.85
0.0764,-9.2803,0.033354,4.86
-0.0121,-8.1521,0.192276,4.87
-0.0841,-6.2539,0.187371,4.88
-0.1394,-5.0227,0.05886,4.89
-0.1878,-4.7775,-0.00981,4.9
-0.2355,-4.6941,0.026487,4.91
-0.28,-4.0957,0.093195,4.92
-0.3145,-2.6291,0.200124,4.93
-0.3266,0.6376,0.453222,4.94
-0.2933,6.4354,0.70632,4.95
-0.1936,13.5084,0.708282,4.96
-0.0273,19.3355,0.457146,4.97
0.1823,21.9352,0.062784,4.98
0.3982,20.5667,-0.336483,4.99
0.5803,15.1957,-0.737712,5
0.691,6.4844,-1.004544,5.01
0.7051,-3.6935,-1.031031,5.02
0.6178,-13.6506,-0.960399,5.03
0.4356,-22.5777,-0.825021,5.04
0.1719,-29.8322,-0.625878,5.05
-0.152,-34.3644,-0.280566,5.06
-0.5026,-35.0364,0.146169,5.07
-0.8388,-31.5244,0.556227,5.08
-1.1194,-23.9168,0.965304,5.09
-1.3047,-12.5715,1.303749,5.1
-1.3632,1.0595,1.42245,5.11
-1.2808,15.4802,1.46169,5.12
-1.0519,30.4159,1.525455,5.13
-0.671,45.8078,1.552923,5.14
-0.1375,60.6699,1.419507,5.15
0.533,72.7215,0.99081,5.16
1.3014,80.1232,0.489519,5.17
2.1192,82.6492,0.015696,5.18
2.9382,80.2998,-0.485595,5.19
3.7097,73.3003,-0.914292,5.2
4.3933,63.0292,-1.139922,5.21
4.9632,50.6098,-1.34397,5.22
5.3992,36.3166,-1.514664,5.23
5.6855,20.8168,-1.585296,5.24
5.8136,4.748,-1.62846,5.25
5.7786,-11.8701,-1.695168,5.26
5.5733,-29.3613,-1.803078,5.27
5.1862,-48.3927,-2.003202,5.28
4.5988,-69.4156,-2.201364,5.29
3.7951,-91.2821,-2.171934,5.3
2.7809,-110.8432,-1.740294,5.31
1.5965,-124.9156,-1.074195,5.32
0.3044,-132.4546,-0.433602,5.33
-1.0309,-133.4847,0.227592,5.34
-2.3428,-127.7409,0.921159,5.35
-3.5661,-116.1406,1.398906,5.36
-4.6558,-101.6071,1.507797,5.37
-5.5952,-86.1514,1.583334,5.38
-6.3751,-69.5725,1.732446,5.39
-6.9805,-51.1542,1.951209,5.4
-7.3898,-30.2246,2.234718,5.41
-7.5758,-6.5138,2.507436,5.42
-7.5143,18.9137,2.578068,5.43
-7.2049,42.1045,2.0601,5.44
-6.6946,58.6,1.239003,5.45
-6.0592,67.223,0.485595,5.46
-5.375,68.3659,-0.257022,5.47
-4.7102,64.0201,-0.612144,5.48
-4.096,59.272,-0.337464,5.49
-3.5133,57.9624,0.075537,5.5
-2.9277,59.375,0.206991,5.51
-2.3241,61.2831,0.174618,5.52
-1.7022,63.1372,0.1962,5.53
-1.0604,65.2806,0.232497,5.54
-0.3959,67.6252,0.236421,5.55
0.2914,69.7687,0.192276,5.56
0.9968,71.1176,0.077499,5.57
1.7086,70.9214,-0.116739,5.58
2.4077,68.4542,-0.376704,5.59
3.0697,63.5933,-0.595467,5.6
3.675,57.3689,-0.649422,5.61
4.2177,51.3259,-0.55917,5.62
4.7082,47.294,-0.247212,5.63
5.1755,46.8182,0.152055,5.64
5.6566,49.9476,0.473823,5.65
6.1821,55.3774,0.612144,5.66
6.7676,61.8275,0.677871,5.67
7.4209,68.9496,0.746541,5.68
8.1488,76.7436,0.812268,5.69
8.958,85.2048,0.879957,5.7
9.8543,94.0877,0.896634,5.71
10.8363,101.9553,0.67689,5.72
11.8821,106.4238,0.216801,5.73
12.9499,106.4189,-0.217782,5.74
13.9992,103.0344,-0.459108,5.75
15.0054,98.0951,-0.528759,5.76
15.9584,92.3562,-0.619011,5.77
16.8494,85.6854,-0.715149,5.78
17.6691,78.1072,-0.800496,5.79
18.4078,69.3959,-0.94176,5.8
19.0505,58.7276,-1.191915,5.81
19.5736,45.4252,-1.468557,5.82
19.9503,29.5183,-1.712826,5.83
20.1574,11.6396,-1.862919,5.84
20.18,-7.1711,-1.899216,5.85
20.0142,-25.9082,-1.848204,5.86
19.666,-43.4043,-1.651023,5.87
19.1544,-58.4136,-1.350837,5.88
18.5074,-70.4996,-1.066347,5.89
17.753,-80.0055,-0.834831,5.9
16.9137,-87.5984,-0.683757,5.91
16.0064,-93.5923,-0.515025,5.92
15.0481,-97.7027,-0.307053,5.93
14.0588,-99.8658,-0.125568,5.94
13.0563,-100.3808,0.022563,5.95
12.0559,-99.4734,0.158922,5.96
11.0712,-97.2514,0.285471,5.97
10.1161,-93.455,0.473823,5.98
9.2094,-87.4709,0.722997,5.99
8.3741,-79.2599,0.919197,6
7.6295,-69.4695,1.038879,6.01
6.9888,-58.4529,1.164447,6.02
6.4655,-45.9108,1.34397,6.03
6.0775,-31.2988,1.578429,6.04
5.8472,-14.3962,1.802097,6.05
5.7954,4.2428,1.925703,6.06
5.9342,23.5293,1.931589,6.07
6.2633,42.0064,1.763838,6.08
6.7654,57.7956,1.394001,6.09
7.4066,69.7981,1.006506,6.1
8.1485,77.965,0.626859,6.11
8.9528,82.2176,0.223668,6.12
9.7804,82.7277,-0.121644,6.13
10.5997,80.9325,-0.237402,6.14
11.3971,78.5487,-0.239364,6.15
12.1705,76.1305,-0.244269,6.16
12.9197,73.7172,-0.238383,6.17
13.645,71.3236,-0.240345,6.18
14.346,68.8564,-0.253098,6.19
15.0219,66.3401,-0.250155,6.2
15.6736,64.074,-0.203067,6.21
16.3068,62.8281,-0.046107,6.22
16.9381,63.9661,0.273699,6.23
17.5955,67.9048,0.514044,6.24
18.3011,73.3199,0.56898,6.25
19.0631,79.1127,0.589581,6.26
19.8821,84.5328,0.494424,6.27
20.7465,87.7652,0.152055,6.28
21.6251,87.2943,-0.246231,6.29
22.4796,82.9828,-0.616068,6.3
23.272,74.8503,-1.01043,6.31
23.9634,62.7595,-1.407735,6.32
24.5165,47.4608,-1.652004,6.33
24.9081,30.8132,-1.67751,6.34
25.1326,14.1166,-1.661814,6.35
25.1914,-2.2808,-1.617669,6.36
25.0909,-17.4961,-1.425393,6.37
24.8502,-30.0971,-1.094796,6.38
24.4994,-39.5686,-0.799515,6.39
24.0663,-46.7937,-0.645498,6.4
23.5673,-52.9004,-0.575847,6.41
23.0101,-58.4872,-0.541512,6.42
22.3979,-63.9612,-0.553284,6.43
21.7299,-69.7099,-0.596448,6.44
21.0023,-75.8705,-0.635688,6.45
20.2116,-82.2961,-0.649422,6.46
19.3567,-88.6334,-0.61803,6.47
18.4419,-94.0779,-0.47088,6.48
17.4836,-96.9768,-0.108891,6.49
16.5153,-96.0154,0.301167,6.5
