#Recording frequency [Hz],100,, 
#Number of samples,3633,, 
#pos [mm],vel [mm/s],acc [m/s2], Time in recording [s] 
4.1259,14.3766,-0.014715,13.83
4.2687,14.1705,-0.026487,13.84
4.4089,13.8615,-0.035316,13.85
4.5457,13.4789,-0.041202,13.86
4.6784,13.0522,-0.044145,13.87
4.8067,12.6108,-0.044145,13.88
4.9304,12.1301,-0.051993,13.89
5.0488,11.4973,-0.074556,13.9
5.1595,10.5997,-0.104967,13.91
5.2599,9.4372,-0.12753,13.92
5.3478,8.1472,-0.130473,13.93
5.423,6.916,-0.115758,13.94
5.4868,5.8762,-0.092214,13.95
5.5414,5.0865,-0.065727,13.96
5.5894,4.5518,-0.041202,13.97
5.6333,4.2919,-0.010791,13.98
5.6763,4.3753,0.027468,13.99
5.7221,4.8461,0.066708,14
5.7744,5.6653,0.097119,14.01
5.8361,6.7002,0.109872,14.02
5.9086,7.7744,0.104967,14.03
5.9912,8.7113,0.082404,14.04
6.0817,9.3244,0.040221,14.05
6.176,9.4421,-0.016677,14.06
6.2688,9.035,-0.064746,14.07
6.3556,8.2796,-0.086328,14.08
6.4341,7.4262,-0.084366,14.09
6.5046,6.7248,-0.055917,14.1
6.5697,6.3667,-0.015696,14.11
6.6333,6.4157,0.025506,14.12
6.6992,6.8179,0.054936,14.13
6.7702,7.3771,0.056898,14.14
6.8463,7.8088,0.02943,14.15
6.925,7.8529,-0.020601,14.16
7.0016,7.3673,-0.076518,14.17
7.0707,6.3765,-0.121644,14.18
7.1279,5.0129,-0.151074,14.19
7.1705,3.5169,-0.148131,14.2
7.1989,2.2122,-0.112815,14.21
7.2162,1.344,-0.060822,14.22
7.2273,0.9516,-0.017658,14.23
7.2363,0.878,0.002943,14.24
7.2453,0.927,0.006867,14.25
7.2549,0.981,0.003924,14.26
7.2647,0.9712,-0.005886,14.27
7.2739,0.8388,-0.020601,14.28
7.2808,0.5101,-0.045126,14.29
7.2832,-0.0932,-0.075537,14.3
7.2782,-0.9369,-0.093195,14.31
7.2642,-1.859,-0.091233,14.32
7.2415,-2.6242,-0.061803,14.33
7.213,-2.9921,-0.011772,14.34
7.1836,-2.7909,0.051993,14.35
7.1591,-2.0258,0.101043,14.36
7.1442,-0.9123,0.121644,14.37
7.1411,0.2698,0.114777,14.38
7.1493,1.3734,0.105948,14.39
7.1684,2.428,0.104967,14.4
7.198,3.5071,0.110853,14.41
7.2386,4.6254,0.112815,14.42
7.2904,5.7241,0.106929,14.43
7.3529,6.7542,0.099081,14.44
7.4252,7.6959,0.089271,14.45
7.5065,8.5543,0.082404,14.46
7.5961,9.3489,0.076518,14.47
7.6933,10.07,0.067689,14.48
7.7971,10.688,0.055917,14.49
7.9066,11.1785,0.042183,14.5
8.0202,11.5218,0.026487,14.51
8.1365,11.6935,0.007848,14.52
8.2535,11.6739,-0.011772,14.53
8.3693,11.4532,-0.032373,14.54
8.4819,11.051,-0.048069,14.55
8.5899,10.531,-0.055917,14.56
8.6925,10.0013,-0.050031,14.57
8.7904,9.6089,-0.028449,14.58
8.8856,9.4912,0.004905,14.59
8.9811,9.6383,0.024525,14.6
9.0785,9.8247,0.012753,14.61
9.177,9.8296,-0.011772,14.62
9.2743,9.5991,-0.034335,14.63
9.3683,9.1625,-0.052974,14.64
9.457,8.5543,-0.06867,14.65
9.539,7.8333,-0.075537,14.66
9.6135,7.0779,-0.075537,14.67
9.6806,6.3422,-0.071613,14.68
9.7407,5.6947,-0.057879,14.69
9.795,5.2091,-0.03924,14.7
9.8455,4.9246,-0.017658,14.71
9.8941,4.8167,-0.003924,14.72
9.9421,4.7922,-0.000981,14.73
9.9899,4.7578,-0.005886,14.74
10.0371,4.6696,-0.011772,14.75
10.0832,4.5371,-0.014715,14.76
10.1279,4.4096,-0.010791,14.77
10.1716,4.3605,0.000981,14.78
10.2156,4.4734,0.021582,14.79
10.2618,4.7971,0.043164,14.8
10.3123,5.3514,0.067689,14.81
10.3696,6.1509,0.092214,14.82
10.4362,7.1956,0.116739,14.83
10.5143,8.4758,0.139302,14.84
10.6063,9.9326,0.152055,14.85
10.7133,11.4679,0.154998,14.86
10.8356,12.9884,0.149112,14.87
10.9727,14.4158,0.136359,14.88
11.1233,15.6568,0.111834,14.89
11.2849,16.6083,0.07848,14.9
11.4544,17.2558,0.051012,14.91
11.6293,17.6923,0.036297,14.92
11.8078,17.9964,0.024525,14.93
11.9889,18.1926,0.014715,14.94
12.1714,18.3006,0.006867,14.95
12.3547,18.3545,0.003924,14.96
12.5383,18.3643,-0.001962,14.97
12.7218,18.3202,-0.006867,14.98
12.9046,18.2368,-0.00981,14.99
13.0864,18.1191,-0.013734,15
13.267,17.9964,-0.010791,15.01
13.4466,17.9572,0.002943,15.02
13.6266,18.0504,0.015696,15.03
13.8079,18.2368,0.021582,15.04
13.9914,18.4526,0.021582,15.05
14.177,18.6635,0.020601,15.06
14.3645,18.8156,0.00981,15.07
14.5528,18.8205,-0.008829,15.08
14.7402,18.6243,-0.030411,15.09
14.9247,18.2417,-0.046107,15.1
15.1046,17.7169,-0.05886,15.11
15.2786,17.0743,-0.069651,15.12
15.4456,16.2993,-0.085347,15.13
15.6039,15.3281,-0.108891,15.14
15.7514,14.1362,-0.129492,15.15
15.8861,12.7579,-0.146169,15.16
16.0061,11.2374,-0.157941,15.17
16.1105,9.6187,-0.165789,15.18
16.1983,7.9265,-0.172656,15.19
16.2687,6.146,-0.183447,15.2
16.3209,4.2772,-0.190314,15.21
16.3541,2.3691,-0.191295,15.22
16.3683,0.4709,-0.188352,15.23
16.3636,-1.4028,-0.18639,15.24
16.3402,-3.2962,-0.192276,15.25
16.2974,-5.2925,-0.206991,15.26
16.234,-7.3918,-0.212877,15.27
16.1495,-9.4961,-0.207972,15.28
16.0444,-11.4973,-0.192276,15.29
15.9203,-13.2876,-0.165789,15.3
15.7796,-14.7984,-0.136359,15.31
15.6253,-16.0001,-0.103986,15.32
15.4608,-16.8242,-0.060822,15.33
15.2904,-17.1822,-0.010791,15.34
15.1187,-17.089,0.02943,15.35
14.9498,-16.6525,0.057879,15.36
14.7864,-15.9756,0.077499,15.37
14.6307,-15.1466,0.08829,15.38
14.4838,-14.2294,0.095157,15.39
14.3464,-13.2288,0.104967,15.4
14.2195,-12.1497,0.110853,15.41
14.1036,-11.0166,0.115758,15.42
13.9993,-9.8492,0.11772,15.43
13.9065,-8.7162,0.108891,15.44
13.8244,-7.7352,0.087309,15.45
13.751,-6.9896,0.061803,15.46
13.684,-6.4501,0.046107,15.47
13.6217,-6.0184,0.040221,15.48
13.5636,-5.5966,0.044145,15.49
13.51,-5.1012,0.054936,15.5
13.4618,-4.5273,0.059841,15.51
13.4194,-3.9534,0.054936,15.52
13.3825,-3.4531,0.045126,15.53
13.3501,-3.0313,0.03924,15.54
13.3219,-2.6095,0.045126,15.55
13.2984,-2.0405,0.06867,15.56
13.282,-1.1821,0.103005,15.57
13.276,0.0392,0.141264,15.58
13.284,1.6186,0.174618,15.59
13.3092,3.458,0.193257,15.6
13.3535,5.3857,0.192276,15.61
13.4167,7.2398,0.178542,15.62
13.4976,8.9075,0.154998,15.63
13.5939,10.3005,0.123606,15.64
13.7026,11.3796,0.092214,15.65
13.8205,12.1448,0.060822,15.66
13.9445,12.6255,0.035316,15.67
14.0721,12.8413,0.007848,15.68
14.2004,12.7677,-0.022563,15.69
14.3264,12.3851,-0.053955,15.7
14.4469,11.6396,-0.095157,15.71
14.558,10.5163,-0.129492,15.72
14.6563,9.1282,-0.148131,15.73
14.7401,7.6273,-0.152055,15.74
14.809,6.1509,-0.143226,15.75
14.8637,4.8265,-0.121644,15.76
14.9063,3.7327,-0.097119,15.77
14.9391,2.8792,-0.073575,15.78
14.9646,2.2416,-0.053955,15.79
14.9845,1.7707,-0.040221,15.8
15.0005,1.4617,-0.021582,15.81
15.0145,1.3685,0.002943,15.82
15.0287,1.5304,0.02943,15.83
15.0458,1.9228,0.04905,15.84
15.0678,2.4966,0.065727,15.85
15.0964,3.2471,0.084366,15.86
15.1333,4.1643,0.099081,15.87
15.18,5.1993,0.10791,15.88
15.2375,6.2882,0.109872,15.89
15.3057,7.3575,0.103986,15.9
15.3842,8.3091,0.086328,15.91
15.4711,9.0203,0.055917,15.92
15.5635,9.3882,0.017658,15.93
15.6576,9.3587,-0.023544,15.94
15.7494,8.9467,-0.05886,15.95
15.8354,8.2159,-0.087309,15.96
15.9129,7.2447,-0.106929,15.97
15.9799,6.1509,-0.111834,15.98
16.0361,5.111,-0.096138,15.99
16.0829,4.3115,-0.063765,16
16.1235,3.8553,-0.027468,16.01
16.161,3.6837,-0.006867,16.02
16.1976,3.6346,-0.002943,16.03
16.2337,3.5806,-0.007848,16.04
16.2691,3.5169,-0.004905,16.05
16.3042,3.512,0.003924,16.06
16.3397,3.6003,0.013734,16.07
16.3765,3.767,0.01962,16.08
16.4151,3.9436,0.015696,16.09
16.4551,4.0466,0.004905,16.1
16.4956,4.027,-0.008829,16.11
16.5353,3.9093,-0.014715,16.12
16.5737,3.7719,-0.012753,16.13
16.6109,3.6738,-0.006867,16.14
16.6473,3.6003,-0.007848,16.15
16.6827,3.4727,-0.017658,16.16
16.7163,3.2275,-0.031392,16.17
16.7469,2.8694,-0.040221,16.18
16.7735,2.4476,-0.044145,16.19
16.7958,2.0209,-0.041202,16.2
16.8141,1.6579,-0.031392,16.21
16.8294,1.4372,-0.012753,16.22
16.8436,1.4421,0.013734,16.23
16.8592,1.7217,0.042183,16.24
16.8789,2.2661,0.066708,16.25
16.9051,2.9871,0.077499,16.26
16.9388,3.7425,0.073575,16.27
16.9798,4.4341,0.064746,16.28
17.0272,5.0521,0.05886,16.29
17.0806,5.6211,0.054936,16.3
17.1395,6.1362,0.048069,16.31
17.203,6.5433,0.033354,16.32
17.2698,6.7787,0.013734,16.33
17.3379,6.8081,-0.007848,16.34
17.4053,6.6414,-0.025506,16.35
17.4701,6.298,-0.043164,16.36
17.5307,5.8026,-0.055917,16.37
17.5858,5.1944,-0.065727,16.38
17.6344,4.5077,-0.071613,16.39
17.6758,3.7768,-0.074556,16.4
17.7098,3.0117,-0.07848,16.41
17.736,2.2269,-0.07848,16.42
17.7544,1.4813,-0.070632,16.43
17.7659,0.8289,-0.059841,16.44
17.7713,0.2698,-0.051993,16.45
17.7715,-0.2354,-0.04905,16.46
17.7667,-0.7259,-0.04905,16.47
17.757,-1.2115,-0.048069,16.48
17.7426,-1.6628,-0.042183,16.49
17.724,-2.0307,-0.031392,16.5
17.7025,-2.2269,-0.007848,16.51
17.6805,-2.119,0.02943,16.52
17.6615,-1.5892,0.076518,16.53
17.6503,-0.5886,0.123606,16.54
17.6511,0.8142,0.15696,16.55
17.6673,2.4329,0.16677,16.56
17.6997,4.0368,0.154017,16.57
17.7473,5.4249,0.123606,16.58
17.8071,6.4795,0.087309,16.59
17.8757,7.1711,0.051012,16.6
17.9495,7.5537,0.025506,16.61
18.0261,7.745,0.012753,16.62
18.1041,7.8578,0.00981,16.63
18.1831,7.9314,0.004905,16.64
18.2626,7.9461,-0.001962,16.65
18.342,7.9314,-0.000981,16.66
18.4213,7.9412,0.002943,16.67
18.5008,7.951,-0.000981,16.68
18.58,7.8725,-0.014715,16.69
18.6577,7.642,-0.031392,16.7
18.7323,7.2447,-0.048069,16.71
18.8021,6.7002,-0.060822,16.72
18.8661,6.0822,-0.062784,16.73
18.9239,5.5181,-0.050031,16.74
18.9769,5.111,-0.031392,16.75
19.0269,4.9295,-0.004905,16.76
19.0762,4.9639,0.011772,16.77
19.1265,5.0914,0.013734,16.78
19.178,5.1846,0.004905,16.79
19.2298,5.1552,-0.010791,16.8
19.2805,4.954,-0.02943,16.81
19.3283,4.5813,-0.045126,16.82
19.3716,4.0662,-0.057879,16.83
19.4092,3.4286,-0.069651,16.84
19.4398,2.6732,-0.081423,16.85
19.4624,1.8198,-0.089271,16.86
19.4761,0.927,-0.089271,16.87
19.4811,0.103,-0.075537,16.88
19.4788,-0.5248,-0.050031,16.89
19.4715,-0.878,-0.020601,16.9
19.4621,-0.9761,0.000981,16.91
19.4526,-0.8927,0.015696,16.92
19.4446,-0.6867,0.025506,16.93
19.4392,-0.3777,0.036297,16.94
19.4375,0.0687,0.052974,16.95
19.4413,0.721,0.077499,16.96
19.4527,1.5794,0.094176,16.97
19.4733,2.5751,0.104967,16.98
19.5044,3.6493,0.109872,16.99
19.5464,4.748,0.109872,17
19.5994,5.8468,0.109872,17.01
19.6633,6.9308,0.106929,17.02
19.7377,7.9363,0.094176,17.03
19.8214,8.7652,0.071613,17.04
19.9122,9.344,0.044145,17.05
20.0074,9.653,0.017658,17.06
20.1044,9.7021,-0.007848,17.07
20.2006,9.4863,-0.035316,17.08
20.2931,8.9761,-0.066708,17.09
20.379,8.1472,-0.099081,17.1
20.4552,7.0387,-0.122625,17.11
20.5194,5.8075,-0.123606,17.12
20.5716,4.6548,-0.106929,17.13
20.6131,3.6886,-0.086328,17.14
20.646,2.9185,-0.067689,17.15
20.672,2.2906,-0.057879,17.16
20.6919,1.6873,-0.062784,17.17
20.7054,0.9908,-0.076518,17.18
20.7112,0.1373,-0.094176,17.19
20.7075,-0.9025,-0.113796,17.2
20.6926,-2.0993,-0.125568,17.21
20.6655,-3.3158,-0.11772,17.22
20.6268,-4.3753,-0.094176,17.23
20.579,-5.1355,-0.057879,17.24
20.5253,-5.5328,-0.021582,17.25
20.4692,-5.6457,-0.000981,17.26
20.4127,-5.6604,-0.001962,17.27
20.3557,-5.7879,-0.023544,17.28
20.2963,-6.1165,-0.042183,17.29
20.2329,-6.5678,-0.048069,17.3
20.1648,-7.0583,-0.050031,17.31
20.0918,-7.5341,-0.045126,17.32
20.0143,-7.9559,-0.03924,17.33
19.9329,-8.3238,-0.034335,17.34
19.8481,-8.5985,-0.020601,17.35
19.7613,-8.7505,-0.00981,17.36
19.6733,-8.8388,-0.007848,17.37
19.5844,-8.9762,-0.01962,17.38
19.4933,-9.2803,-0.041202,17.39
19.3979,-9.8296,-0.06867,17.4
19.2958,-10.6389,-0.093195,17.41
19.1846,-11.6199,-0.103005,17.42
19.0634,-12.6059,-0.094176,17.43
18.933,-13.4495,-0.074556,17.44
18.795,-14.1019,-0.055917,17.45
18.6516,-14.5384,-0.031392,17.46
18.5052,-14.7101,-0.002943,17.47
18.3582,-14.6512,0.014715,17.48
18.2125,-14.4894,0.017658,17.49
18.0685,-14.3079,0.018639,17.5
17.9264,-14.1117,0.020601,17.51
17.7863,-13.9008,0.021582,17.52
17.6483,-13.7046,0.017658,17.53
17.512,-13.5623,0.010791,17.54
17.3768,-13.4937,0.002943,17.55
17.242,-13.4838,-0.000981,17.56
17.1071,-13.4937,-0.000981,17.57
16.9722,-13.474,0.004905,17.58
16.8377,-13.4152,0.006867,17.59
16.7039,-13.3465,0.006867,17.6
16.5707,-13.2975,0.002943,17.61
16.4377,-13.3269,-0.008829,17.62
16.3037,-13.5133,-0.028449,17.63
16.1667,-13.9057,-0.050031,17.64
16.0249,-14.4894,-0.066708,17.65
15.8765,-15.2055,-0.076518,17.66
15.7206,-15.9805,-0.07848,17.67
15.557,-16.7211,-0.069651,17.68
15.3868,-17.2803,-0.042183,17.69
15.2127,-17.4422,0.00981,17.7
15.0398,-17.0498,0.06867,17.71
14.8733,-16.1914,0.103005,17.72
14.7165,-15.1712,0.101043,17.73
14.5693,-14.3128,0.070632,17.74
14.429,-13.8174,0.028449,17.75
14.2916,-13.7487,-0.014715,17.76
14.1527,-14.0774,-0.051012,17.77
14.0091,-14.6709,-0.067689,17.78
13.8592,-15.2889,-0.055917,17.79
13.7041,-15.6813,-0.022563,17.8
13.5468,-15.7254,0.013734,17.81
13.3906,-15.4704,0.037278,17.82
13.238,-15.0289,0.051012,17.83
13.0905,-14.4501,0.064746,17.84
12.9494,-13.7389,0.077499,17.85
12.816,-12.9394,0.082404,17.86
12.6906,-12.1644,0.072594,17.87
12.5723,-11.5218,0.055917,17.88
12.4597,-11.0166,0.045126,17.89
12.3518,-10.5605,0.046107,17.9
12.2486,-10.0651,0.052974,17.91
12.1506,-9.5206,0.055917,17.92
12.0582,-8.9712,0.053955,17.93
11.9712,-8.4121,0.057879,17.94
11.8901,-7.8039,0.063765,17.95
11.8152,-7.1809,0.060822,17.96
11.7463,-6.6119,0.052974,17.97
11.6827,-6.1214,0.045126,17.98
11.6237,-5.6996,0.03924,17.99
11.5685,-5.3317,0.034335,18
11.517,-4.9639,0.03924,18.01
11.4696,-4.4881,0.055917,18.02
11.4279,-3.8063,0.080442,18.03
11.3943,-2.8841,0.103986,18.04
11.3708,-1.805,0.111834,18.05
11.3582,-0.7308,0.103005,18.06
11.3557,0.1913,0.081423,18.07
11.3612,0.8584,0.051993,18.08
11.3719,1.2459,0.025506,18.09
11.3853,1.4077,0.006867,18.1
11.3996,1.4421,0,18.11
11.4141,1.4617,0.003924,18.12
11.4292,1.5745,0.018639,18.13
11.4462,1.8639,0.03924,18.14
11.4671,2.3446,0.056898,18.15
11.4936,2.9773,0.069651,18.16
11.527,3.7229,0.079461,18.17
11.5683,4.542,0.084366,18.18
11.618,5.3955,0.086328,18.19
11.6762,6.2539,0.085347,18.2
11.7429,7.0779,0.079461,18.21
11.8176,7.8431,0.073575,18.22
11.8997,8.569,0.071613,18.23
11.9889,9.2754,0.069651,18.24
12.0852,9.9817,0.071613,18.25
12.1887,10.737,0.079461,18.26
12.3001,11.5562,0.084366,18.27
12.4198,12.3802,0.080442,18.28
12.5475,13.1405,0.071613,18.29
12.6821,13.7487,0.050031,18.3
12.8216,14.097,0.01962,18.31
12.9629,14.1019,-0.018639,18.32
13.1024,13.7193,-0.057879,18.33
13.2362,12.9933,-0.087309,18.34
13.3614,12.0123,-0.108891,18.35
13.4757,10.8253,-0.128511,18.36
13.5773,9.4666,-0.143226,18.37
13.6648,8.0148,-0.14715,18.38
13.7376,6.5482,-0.146169,18.39
13.7957,5.0669,-0.150093,18.4
13.8387,3.5365,-0.155979,18.41
13.8662,1.9473,-0.161865,18.42
13.8776,0.3188,-0.163827,18.43
13.8726,-1.29,-0.157941,18.44
13.8521,-2.7811,-0.140283,18.45
13.8178,-4.0466,-0.112815,18.46
13.7722,-5.0031,-0.07848,18.47
13.719,-5.5868,-0.038259,18.48
13.6618,-5.7879,-0.001962,18.49
13.6043,-5.6604,0.027468,18.5
13.5493,-5.3219,0.040221,18.51
13.498,-4.9344,0.037278,18.52
13.4504,-4.596,0.030411,18.53
13.4058,-4.336,0.021582,18.54
13.3634,-4.1742,0.010791,18.55
13.3221,-4.0957,0.004905,18.56
13.2814,-4.0368,0.006867,18.57
13.2413,-3.978,0.004905,18.58
13.2017,-3.9534,0,18.59
13.162,-3.9976,-0.008829,18.6
13.1213,-4.1693,-0.025506,18.61
13.0781,-4.4979,-0.040221,18.62
13.031,-4.9442,-0.04905,18.63
12.979,-5.474,-0.056898,18.64
12.9211,-6.1165,-0.071613,18.65
12.8561,-6.9161,-0.08829,18.66
12.7823,-7.8823,-0.104967,18.67
12.6981,-8.9663,-0.111834,18.68
12.6029,-10.0749,-0.109872,18.69
12.4967,-11.1442,-0.103986,18.7
12.3802,-12.1448,-0.096138,18.71
12.2542,-13.0375,-0.082404,18.72
12.1199,-13.7929,-0.06867,18.73
11.9787,-14.4354,-0.059841,18.74
11.8316,-14.9701,-0.047088,18.75
11.6797,-15.3821,-0.035316,18.76
11.5242,-15.7107,-0.030411,18.77
11.3655,-16.0443,-0.036297,18.78
11.2032,-16.417,-0.038259,18.79
11.0373,-16.7457,-0.027468,18.8
10.8687,-16.937,-0.010791,18.81
10.6992,-16.9321,0.011772,18.82
10.5308,-16.7064,0.033354,18.83
10.3656,-16.3238,0.043164,18.84
10.2046,-15.8726,0.047088,18.85
10.0483,-15.3772,0.051993,18.86
9.8972,-14.8376,0.055917,18.87
9.7517,-14.249,0.061803,18.88
9.6125,-13.577,0.072594,18.89
9.4804,-12.8217,0.07848,18.9
9.3561,-12.0369,0.07848,18.91
9.2396,-11.2766,0.073575,18.92
9.1303,-10.6193,0.057879,18.93
9.0267,-10.1239,0.041202,18.94
8.9272,-9.8002,0.023544,18.95
8.8301,-9.6383,0.008829,18.96
8.7341,-9.5746,0.003924,18.97
8.6387,-9.5059,0.00981,18.98
8.5443,-9.3391,0.023544,18.99
8.4523,-9.0399,0.036297,19
8.3637,-8.6819,0.035316,19.01
8.2784,-8.4023,0.020601,19.02
8.1951,-8.2895,0.001962,19.03
8.112,-8.3826,-0.020601,19.04
8.0267,-8.7162,-0.046107,19.05
7.9367,-9.3342,-0.077499,19.06
7.8392,-10.1926,-0.094176,19.07
7.7326,-11.1294,-0.093195,19.08
7.617,-11.9584,-0.072594,19.09
7.4942,-12.547,-0.045126,19.1
7.3669,-12.8658,-0.018639,19.11
7.2376,-12.9835,-0.004905,19.12
7.1073,-13.0718,-0.012753,19.13
6.9757,-13.2926,-0.031392,19.14
6.8409,-13.7046,-0.051012,19.15
6.701,-14.2834,-0.064746,19.16
6.5551,-14.8867,-0.055917,19.17
6.4039,-15.3036,-0.027468,19.18
6.25,-15.4213,0.003924,19.19
6.0966,-15.2202,0.036297,19.2
5.9466,-14.715,0.064746,19.21
5.803,-13.9793,0.082404,19.22
5.6675,-13.0964,0.094176,19.23
5.5415,-12.0957,0.105948,19.24
5.426,-10.9823,0.116739,19.25
5.3222,-9.7511,0.129492,19.26
5.2314,-8.3925,0.142245,19.27
5.1547,-6.9308,0.150093,19.28
5.0929,-5.4396,0.148131,19.29
5.0456,-4.0368,0.132435,19.3
5.0115,-2.8302,0.108891,19.31
4.9882,-1.8786,0.081423,19.32
4.9731,-1.187,0.056898,19.33
4.9637,-0.721,0.036297,19.34
4.9579,-0.466,0.014715,19.35
4.9536,-0.4464,-0.010791,19.36
4.9481,-0.6867,-0.037278,19.37
4.9391,-1.1478,-0.054936,19.38
4.9248,-1.7364,-0.062784,19.39
4.9043,-2.3397,-0.057879,19.4
4.8783,-2.8449,-0.043164,19.41
4.848,-3.1784,-0.023544,19.42
4.8154,-3.3158,-0.003924,19.43
4.7823,-3.2765,0.011772,19.44
4.7502,-3.1392,0.015696,19.45
4.7194,-3.0264,0.006867,19.46
4.6893,-3.0215,-0.005886,19.47
4.6588,-3.0902,-0.007848,19.48
4.6275,-3.1441,-0.002943,19.49
4.5962,-3.0951,0.012753,19.5
4.5661,-2.894,0.027468,19.51
4.5386,-2.6046,0.030411,19.52
4.5139,-2.3691,0.016677,19.53
4.4907,-2.3103,-0.004905,19.54
4.4668,-2.5016,-0.033354,19.55
4.4396,-2.9871,-0.063765,19.56
4.4059,-3.8161,-0.102024,19.57
4.3622,-4.9884,-0.132435,19.58
4.3054,-6.3961,-0.149112,19.59
4.234,-7.8921,-0.150093,19.6
4.1478,-9.2999,-0.131454,19.61
4.0488,-10.4624,-0.101043,19.62
3.9398,-11.2717,-0.060822,19.63
3.8247,-11.6837,-0.021582,19.64
3.7073,-11.723,0.013734,19.65
3.5911,-11.4973,0.031392,19.66
3.4779,-11.1344,0.041202,19.67
3.3687,-10.6782,0.050031,19.68
3.2645,-10.1583,0.053955,19.69
3.1655,-9.6432,0.04905,19.7
3.0714,-9.1871,0.042183,19.71
2.9817,-8.7652,0.042183,19.72
2.8962,-8.314,0.048069,19.73
2.8157,-7.7842,0.057879,19.74
2.7409,-7.1613,0.066708,19.75
2.6726,-6.4795,0.069651,19.76
2.6112,-5.8271,0.060822,19.77
2.5555,-5.3563,0.033354,19.78
2.5028,-5.2484,-0.011772,19.79
2.4491,-5.5721,-0.052974,19.8
2.3904,-6.2097,-0.074556,19.81
2.3245,-6.9749,-0.07848,19.82
2.2509,-7.7205,-0.070632,19.83
2.1704,-8.3581,-0.056898,19.84
2.0843,-8.829,-0.037278,19.85
1.9946,-9.0693,-0.010791,19.86
1.9038,-9.0399,0.016677,19.87
1.8144,-8.8241,0.026487,19.88
1.7274,-8.5838,0.021582,19.89
1.6425,-8.4317,0.008829,19.9
1.5584,-8.3876,0,19.91
1.4745,-8.4023,-0.002943,19.92
1.3903,-8.4415,-0.004905,19.93
1.3054,-8.5641,-0.01962,19.94
1.2184,-8.8879,-0.045126,19.95
1.127,-9.4029,-0.057879,19.96
1.0302,-9.9326,-0.048069,19.97
0.9289,-10.3005,-0.025506,19.98
0.825,-10.4329,-0.000981,19.99
0.721,-10.3446,0.018639,20
0.6187,-10.0798,0.034335,20.01
0.5198,-9.6972,0.042183,20.02
0.4249,-9.2754,0.042183,20.03
0.3342,-8.8682,0.03924,20.04
0.2474,-8.5151,0.031392,20.05
0.1636,-8.2502,0.021582,20.06
0.082,-8.0933,0.00981,20.07
0.0014,-8.0344,0.001962,20.08
-0.079,-8.0687,-0.008829,20.09
-0.1603,-8.2159,-0.020601,20.1
-0.2435,-8.4219,-0.020601,20.11
-0.3285,-8.5494,-0.004905,20.12
-0.4139,-8.5004,0.014715,20.13
-0.4978,-8.2453,0.036297,20.14
-0.5782,-7.8088,0.051012,20.15
-0.6536,-7.2398,0.062784,20.16
-0.7225,-6.5286,0.079461,20.17
-0.7836,-5.6604,0.094176,20.18
-0.8354,-4.699,0.0981,20.19
-0.8776,-3.7474,0.092214,20.2
-0.9106,-2.8596,0.085347,20.21
-0.935,-2.0307,0.080442,20.22
-0.9513,-1.2361,0.07848,20.23
-0.9597,-0.4464,0.079461,20.24
-0.9603,0.3335,0.076518,20.25
-0.9533,1.0497,0.066708,20.26
-0.9398,1.6285,0.04905,20.27
-0.9214,2.0012,0.025506,20.28
-0.9004,2.1582,0.005886,20.29
-0.8788,2.1435,-0.008829,20.3
-0.8578,2.0503,-0.00981,20.31
-0.8375,2.0356,0.006867,20.32
-0.8166,2.1729,0.020601,20.33
-0.7939,2.3789,0.020601,20.34
-0.7694,2.4868,0.000981,20.35
-0.745,2.3299,-0.032373,20.36
-0.7237,1.8835,-0.056898,20.37
-0.7079,1.2655,-0.066708,20.38
-0.6984,0.6426,-0.057879,20.39
-0.6945,0.1962,-0.031392,20.4
-0.6935,0.0638,0.004905,20.41
-0.692,0.2796,0.038259,20.42
-0.6871,0.7308,0.051993,20.43
-0.6772,1.2606,0.053955,20.44
-0.6619,1.7952,0.052974,20.45
-0.6413,2.3053,0.04905,20.46
-0.6159,2.7615,0.042183,20.47
-0.5864,3.1196,0.02943,20.48
-0.554,3.3305,0.012753,20.49
-0.5204,3.3746,-0.003924,20.5
-0.487,3.2863,-0.013734,20.51
-0.4548,3.149,-0.013734,20.52
-0.424,3.0166,-0.012753,20.53
-0.3944,2.8939,-0.011772,20.54
-0.3661,2.7762,-0.011772,20.55
-0.339,2.6487,-0.013734,20.56
-0.3131,2.5359,-0.008829,20.57
-0.2881,2.4721,-0.003924,20.58
-0.2634,2.4868,0.006867,20.59
-0.2378,2.6536,0.026487,20.6
-0.2096,3.0166,0.046107,20.61
-0.1769,3.5659,0.063765,20.62
-0.1379,4.233,0.069651,20.63
-0.0922,4.905,0.064746,20.64
-0.0401,5.4838,0.051012,20.65
0.017,5.9301,0.038259,20.66
0.0782,6.2833,0.032373,20.67
0.1425,6.5874,0.028449,20.68
0.21,6.9111,0.036297,20.69
0.2812,7.3575,0.052974,20.7
0.3577,7.9804,0.071613,20.71
0.4412,8.7407,0.080442,20.72
0.5325,9.5059,0.072594,20.73
0.6309,10.1337,0.052974,20.74
0.7344,10.5212,0.024525,20.75
0.8404,10.6291,-0.002943,20.76
0.9462,10.4869,-0.025506,20.77
1.0496,10.1828,-0.035316,20.78
1.1496,9.8198,-0.037278,20.79
1.2459,9.4421,-0.038259,20.8
1.3386,9.0988,-0.030411,20.81
1.4283,8.8682,-0.015696,20.82
1.5164,8.775,-0.002943,20.83
1.604,8.7603,0,20.84
1.6915,8.7162,-0.008829,20.85
