         time Record_Dis... 
 1.064134e-01 -1.902378e-03 
 1.068173e-01 -1.909802e-03 
 1.072211e-01 -1.917124e-03 
 1.076250e-01 -1.924339e-03 
 1.080288e-01 -1.931440e-03 
 1.084327e-01 -1.938423e-03 
 1.088365e-01 -1.945281e-03 
 1.092404e-01 -1.952009e-03 
 1.096442e-01 -1.958605e-03 
 1.100481e-01 -1.965065e-03 
 1.104519e-01 -1.971377e-03 
 1.108558e-01 -1.977531e-03 
 1.112596e-01 -1.983525e-03 
 1.116634e-01 -1.989358e-03 
 1.120673e-01 -1.995029e-03 
 1.124711e-01 -2.000538e-03 
 1.128750e-01 -2.005885e-03 
 1.132788e-01 -2.011073e-03 
 1.136827e-01 -2.016104e-03 
 1.140865e-01 -2.020984e-03 
 1.144904e-01 -2.025718e-03 
 1.148942e-01 -2.030312e-03 
 1.152981e-01 -2.034774e-03 
 1.157019e-01 -2.039109e-03 
 1.161058e-01 -2.043324e-03 
 1.165096e-01 -2.047426e-03 
 1.169134e-01 -2.051421e-03 
 1.173173e-01 -2.055315e-03 
 1.177211e-01 -2.059112e-03 
 1.181250e-01 -2.062818e-03 
 1.185288e-01 -2.066441e-03 
 1.189327e-01 -2.069991e-03 
 1.193365e-01 -2.073475e-03 
 1.197404e-01 -2.076901e-03 
 1.201442e-01 -2.080276e-03 
 1.205481e-01 -2.083616e-03 
 1.209519e-01 -2.086930e-03 
 1.213557e-01 -2.090219e-03 
 1.217596e-01 -2.093485e-03 
 1.221634e-01 -2.096726e-03 
 1.225673e-01 -2.099942e-03 
 1.229711e-01 -2.103129e-03 
 1.233750e-01 -2.106288e-03 
 1.237788e-01 -2.109416e-03 
 1.241827e-01 -2.112513e-03 
 1.245865e-01 -2.115577e-03 
 1.249904e-01 -2.118606e-03 
 1.253942e-01 -2.121614e-03 
 1.257981e-01 -2.124611e-03 
 1.262019e-01 -2.127592e-03 
 1.266057e-01 -2.130552e-03 
 1.270096e-01 -2.133485e-03 
 1.274134e-01 -2.136385e-03 
 1.278173e-01 -2.139247e-03 
 1.282211e-01 -2.142068e-03 
 1.286250e-01 -2.144843e-03 
 1.290288e-01 -2.147574e-03 
 1.294327e-01 -2.150260e-03 
 1.298365e-01 -2.152902e-03 
 1.302404e-01 -2.155507e-03 
 1.306442e-01 -2.158105e-03 
 1.310481e-01 -2.160695e-03 
 1.314519e-01 -2.163276e-03 
 1.318557e-01 -2.165848e-03 
 1.322596e-01 -2.168408e-03 
 1.326634e-01 -2.170955e-03 
 1.330673e-01 -2.173490e-03 
 1.334711e-01 -2.176014e-03 
 1.338750e-01 -2.178530e-03 
 1.342788e-01 -2.181040e-03 
 1.346827e-01 -2.183547e-03 
 1.350865e-01 -2.186055e-03 
 1.354904e-01 -2.188600e-03 
 1.358942e-01 -2.191197e-03 
 1.362981e-01 -2.193845e-03 
 1.367019e-01 -2.196544e-03 
 1.371057e-01 -2.199292e-03 
 1.375096e-01 -2.202089e-03 
 1.379134e-01 -2.204934e-03 
 1.383173e-01 -2.207828e-03 
 1.387211e-01 -2.210769e-03 
 1.391250e-01 -2.213758e-03 
 1.395288e-01 -2.216792e-03 
 1.399327e-01 -2.219869e-03 
 1.403365e-01 -2.222999e-03 
 1.407404e-01 -2.226191e-03 
 1.411442e-01 -2.229441e-03 
 1.415481e-01 -2.232743e-03 
 1.419519e-01 -2.236092e-03 
 1.423557e-01 -2.239482e-03 
 1.427596e-01 -2.242909e-03 
 1.431634e-01 -2.246370e-03 
 1.435673e-01 -2.249860e-03 
 1.439711e-01 -2.253375e-03 
 1.443750e-01 -2.256910e-03 
 1.447788e-01 -2.260462e-03 
 1.451827e-01 -2.264025e-03 
 1.455865e-01 -2.267596e-03 
 1.459904e-01 -2.271174e-03 
 1.463942e-01 -2.274755e-03 
 1.467981e-01 -2.278341e-03 
 1.472019e-01 -2.281930e-03 
 1.476057e-01 -2.285525e-03 
 1.480096e-01 -2.289128e-03 
 1.484134e-01 -2.292740e-03 
 1.488173e-01 -2.296365e-03 
 1.492211e-01 -2.300007e-03 
 1.496250e-01 -2.303667e-03 
 1.500288e-01 -2.307347e-03 
 1.504327e-01 -2.311048e-03 
 1.508365e-01 -2.314774e-03 
 1.512404e-01 -2.318528e-03 
 1.516442e-01 -2.322313e-03 
 1.520481e-01 -2.326129e-03 
 1.524519e-01 -2.329980e-03 
 1.528557e-01 -2.333867e-03 
 1.532596e-01 -2.337794e-03 
 1.536634e-01 -2.341760e-03 
 1.540673e-01 -2.345767e-03 
 1.544711e-01 -2.349811e-03 
 1.548750e-01 -2.353892e-03 
 1.552788e-01 -2.358006e-03 
 1.556827e-01 -2.362151e-03 
 1.560865e-01 -2.366325e-03 
 1.564904e-01 -2.370524e-03 
 1.568942e-01 -2.374744e-03 
 1.572981e-01 -2.378981e-03 
 1.577019e-01 -2.383232e-03 
 1.581057e-01 -2.387489e-03 
 1.585096e-01 -2.391745e-03 
 1.589134e-01 -2.395993e-03 
 1.593173e-01 -2.400225e-03 
 1.597211e-01 -2.404433e-03 
 1.601250e-01 -2.408608e-03 
 1.605288e-01 -2.412742e-03 
 1.609327e-01 -2.416828e-03 
 1.613365e-01 -2.420858e-03 
 1.617404e-01 -2.424827e-03 
 1.621442e-01 -2.428728e-03 
 1.625481e-01 -2.432557e-03 
 1.629519e-01 -2.436307e-03 
 1.633557e-01 -2.439974e-03 
 1.637596e-01 -2.443556e-03 
 1.641634e-01 -2.447051e-03 
 1.645673e-01 -2.450455e-03 
 1.649711e-01 -2.453767e-03 
 1.653750e-01 -2.456986e-03 
 1.657788e-01 -2.460114e-03 
 1.661827e-01 -2.463150e-03 
 1.665865e-01 -2.466096e-03 
 1.669904e-01 -2.468953e-03 
 1.673942e-01 -2.471723e-03 
 1.677980e-01 -2.474406e-03 
 1.682019e-01 -2.477003e-03 
 1.686057e-01 -2.479513e-03 
 1.690096e-01 -2.481936e-03 
 1.694134e-01 -2.484269e-03 
 1.698173e-01 -2.486513e-03 
 1.702211e-01 -2.488663e-03 
 1.706250e-01 -2.490719e-03 
 1.710288e-01 -2.492678e-03 
 1.714327e-01 -2.494536e-03 
 1.718365e-01 -2.496288e-03 
 1.722404e-01 -2.497929e-03 
 1.726442e-01 -2.499455e-03 
 1.730480e-01 -2.500862e-03 
 1.734519e-01 -2.502144e-03 
 1.738557e-01 -2.503295e-03 
 1.742596e-01 -2.504312e-03 
