         time Mid_Disp()... 
 7.770388e-02  1.181486e-03 
 7.802195e-02  1.170492e-03 
 7.834001e-02  1.159301e-03 
 7.865808e-02  1.147883e-03 
 7.897615e-02  1.136222e-03 
 7.929422e-02  1.124324e-03 
 7.961228e-02  1.112201e-03 
 7.993035e-02  1.099838e-03 
 8.024842e-02  1.087232e-03 
 8.056649e-02  1.074372e-03 
 8.088455e-02  1.061249e-03 
 8.120262e-02  1.047856e-03 
 8.152069e-02  1.034204e-03 
 8.183876e-02  1.020311e-03 
 8.215682e-02  1.006161e-03 
 8.247489e-02  9.917169e-04 
 8.279296e-02  9.769801e-04 
 8.311103e-02  9.619840e-04 
 8.342909e-02  9.467614e-04 
 8.374716e-02  9.313110e-04 
 8.406523e-02  9.155858e-04 
 8.438330e-02  8.995378e-04 
 8.470136e-02  8.831839e-04 
 8.501943e-02  8.665567e-04 
 8.533750e-02  8.496630e-04 
 8.565557e-02  8.324913e-04 
 8.597363e-02  8.150321e-04 
 8.629170e-02  7.972961e-04 
 8.660977e-02  7.792955e-04 
 8.692784e-02  7.610430e-04 
 8.724590e-02  7.425519e-04 
 8.756397e-02  7.238067e-04 
 8.788204e-02  7.047839e-04 
 8.820010e-02  6.854692e-04 
 8.851817e-02  6.658640e-04 
 8.883624e-02  6.459759e-04 
 8.915431e-02  6.258188e-04 
 8.947237e-02  6.054055e-04 
 8.979044e-02  5.847400e-04 
 9.010851e-02  5.638136e-04 
 9.042658e-02  5.426329e-04 
 9.074464e-02  5.212029e-04 
 9.106271e-02  4.995353e-04 
 9.138078e-02  4.776477e-04 
 9.169885e-02  4.555591e-04 
 9.201691e-02  4.332728e-04 
 9.233498e-02  4.108020e-04 
 9.265305e-02  3.881725e-04 
 9.297112e-02  3.654317e-04 
 9.328918e-02  3.426050e-04 
 9.360725e-02  3.196769e-04 
 9.392532e-02  2.966357e-04 
 9.424339e-02  2.734790e-04 
 9.456145e-02  2.502448e-04 
 9.487952e-02  2.269994e-04 
 9.519759e-02  2.037695e-04 
 9.551566e-02  1.805663e-04 
 9.583372e-02  1.573960e-04 
 9.615179e-02  1.342714e-04 
 9.646986e-02  1.112098e-04 
 9.678793e-02  8.822447e-05 
 9.710599e-02  6.533173e-05 
 9.742406e-02  4.254250e-05 
 9.774213e-02  1.984950e-05 
 9.806020e-02 -2.735948e-06 
 9.837826e-02 -2.518863e-05 
 9.869633e-02 -4.748061e-05 
 9.901440e-02 -6.958383e-05 
 9.933247e-02 -9.148043e-05 
 9.965053e-02 -1.131664e-04 
 9.996860e-02 -1.346313e-04 
 1.002867e-01 -1.558716e-04 
 1.006047e-01 -1.768615e-04 
 1.009228e-01 -1.975786e-04 
 1.012409e-01 -2.179960e-04 
 1.015589e-01 -2.381017e-04 
 1.018770e-01 -2.579030e-04 
 1.021951e-01 -2.773894e-04 
 1.025131e-01 -2.965378e-04 
 1.028312e-01 -3.153172e-04 
 1.031493e-01 -3.337169e-04 
 1.034673e-01 -3.517485e-04 
 1.037854e-01 -3.694209e-04 
 1.041035e-01 -3.867224e-04 
 1.044215e-01 -4.036305e-04 
 1.047396e-01 -4.201144e-04 
 1.050577e-01 -4.361663e-04 
 1.053757e-01 -4.518022e-04 
 1.056938e-01 -4.670362e-04 
 1.060119e-01 -4.818665e-04 
 1.063299e-01 -4.963013e-04 
 1.066480e-01 -5.103307e-04 
 1.069661e-01 -5.239477e-04 
 1.072842e-01 -5.371510e-04 
 1.076022e-01 -5.499472e-04 
 1.079203e-01 -5.623516e-04 
 1.082384e-01 -5.743654e-04 
 1.085564e-01 -5.859741e-04 
 1.088745e-01 -5.971669e-04 
 1.091926e-01 -6.079442e-04 
 1.095106e-01 -6.183063e-04 
 1.098287e-01 -6.282571e-04 
 1.101468e-01 -6.377883e-04 
 1.104648e-01 -6.468779e-04 
 1.107829e-01 -6.555136e-04 
 1.111010e-01 -6.636964e-04 
 1.114190e-01 -6.714434e-04 
 1.117371e-01 -6.787797e-04 
 1.120552e-01 -6.857150e-04 
 1.123732e-01 -6.922328e-04 
 1.126913e-01 -6.983185e-04 
 1.130094e-01 -7.039689e-04 
 1.133274e-01 -7.091936e-04 
 1.136455e-01 -7.140038e-04 
 1.139636e-01 -7.183957e-04 
 1.142816e-01 -7.223473e-04 
 1.145997e-01 -7.258432e-04 
 1.149178e-01 -7.288892e-04 
 1.152358e-01 -7.315051e-04 
 1.155539e-01 -7.337069e-04 
 1.158720e-01 -7.354967e-04 
 1.161900e-01 -7.368647e-04 
 1.165081e-01 -7.378064e-04 
 1.168262e-01 -7.383126e-04 
 1.171442e-01 -7.383804e-04 
 1.174623e-01 -7.380264e-04 
 1.177804e-01 -7.372553e-04 
 1.180984e-01 -7.360654e-04 
 1.184165e-01 -7.344479e-04 
 1.187346e-01 -7.323763e-04 
 1.190526e-01 -7.298464e-04 
 1.193707e-01 -7.268593e-04 
 1.196888e-01 -7.234122e-04 
 1.200069e-01 -7.194940e-04 
 1.203249e-01 -7.150756e-04 
 1.206430e-01 -7.101530e-04 
 1.209611e-01 -7.047394e-04 
 1.212791e-01 -6.988494e-04 
 1.215972e-01 -6.924796e-04 
 1.219153e-01 -6.856134e-04 
 1.222333e-01 -6.782309e-04 
 1.225514e-01 -6.703178e-04 
 1.228695e-01 -6.618818e-04 
 1.231875e-01 -6.529391e-04 
 1.235056e-01 -6.435068e-04 
 1.238237e-01 -6.335852e-04 
 1.241417e-01 -6.231650e-04 
 1.244598e-01 -6.122347e-04 
 1.247779e-01 -6.008069e-04 
 1.250959e-01 -5.889028e-04 
 1.254140e-01 -5.765326e-04 
 1.257321e-01 -5.636977e-04 
 1.260501e-01 -5.503920e-04 
 1.263682e-01 -5.366193e-04 
 1.266863e-01 -5.223967e-04 
 1.270043e-01 -5.077442e-04 
 1.273224e-01 -4.926941e-04 
 1.276405e-01 -4.772661e-04 
 1.279585e-01 -4.614555e-04 
 1.282766e-01 -4.452523e-04 
 1.285947e-01 -4.286447e-04 
 1.289127e-01 -4.116349e-04 
 1.292308e-01 -3.942449e-04 
 1.295489e-01 -3.765000e-04 
 1.298669e-01 -3.584049e-04 
 1.301850e-01 -3.399680e-04 
 1.305031e-01 -3.212088e-04 
 1.308211e-01 -3.021612e-04 
 1.311392e-01 -2.828582e-04 
 1.314573e-01 -2.633094e-04 
 1.317753e-01 -2.435145e-04 
 1.320934e-01 -2.234830e-04 
 1.324115e-01 -2.032342e-04 
 1.327295e-01 -1.827936e-04 
 1.330476e-01 -1.621934e-04 
 1.333657e-01 -1.414613e-04 
 1.336838e-01 -1.206144e-04 
 1.340018e-01 -9.965969e-05 
 1.343199e-01 -7.861226e-05 
 1.346380e-01 -5.749303e-05 
 1.349560e-01 -3.633072e-05 
 1.352741e-01 -1.514079e-05 
 1.355922e-01  6.072196e-06 
 1.359102e-01  2.730066e-05 
 1.362283e-01  4.853550e-05 
 1.365464e-01  6.976246e-05 
 1.368644e-01  9.096571e-05 
 1.371825e-01  1.121322e-04 
 1.375006e-01  1.332603e-04 
 1.378186e-01  1.543535e-04 
 1.381367e-01  1.754186e-04 
 1.384548e-01  1.964458e-04 
 1.387728e-01  2.174112e-04 
 1.390909e-01  2.382858e-04 
 1.394090e-01  2.590530e-04 
 1.397270e-01  2.797170e-04 
 1.400451e-01  3.002869e-04 
 1.403632e-01  3.207517e-04 
