Velocity, Vel [m/s]
0.77350000,-0.0672866635585554
0.77740000,-0.0663075468803271
0.78130000,-0.0644650480102622
0.78520000,-0.0619725679768700
0.78910000,-0.0590603418700337
0.79300000,-0.0559523093565059
0.79690000,-0.0528733472077825
0.80080000,-0.0500669028940763
0.80470000,-0.0477848660569583
0.80860000,-0.0462976337811457
0.81250000,-0.0458473041552130
0.81640000,-0.0466255501060283
0.82030000,-0.0487325965554901
0.82420000,-0.0520734562710904
0.82810000,-0.0564999801062809
0.83210000,-0.0616863140685784
0.83600000,-0.0670491732323009
0.83990000,-0.0721737891532627
0.84380000,-0.0767462146028744
0.84770000,-0.0804527400975527
0.85160000,-0.0831557858515911
0.85550000,-0.0848265055405549
0.85940000,-0.0855326191477658
0.86330000,-0.0854319052670225
0.86720000,-0.0847272249055031
0.87110000,-0.0836646944739580
0.87500000,-0.0825035804542520
0.87890000,-0.0815059873140660
0.88280000,-0.0809121743952726
0.88670000,-0.0808859861686051
0.89060000,-0.0815021142040937
0.89460000,-0.0826687023838762
0.89850000,-0.0840763360049634
0.90240000,-0.0852915571512936
0.90630000,-0.0857784788066364
0.91020000,-0.0849427979344176
0.91410000,-0.0822568207807987
0.91800000,-0.0773440453287208
0.92190000,-0.0700786593891910
0.92580000,-0.0606673027249575
0.92970000,-0.0496756078968278
0.93360000,-0.0379905742016769
0.93750000,-0.0266978746386766
0.94140000,-0.0168922343957198
0.94530000,-0.0094495072699142
0.94920000,-0.0048093180809475
0.95310000,-0.0028226908499308
0.95710000,-0.0027317498036753
0.96100000,-0.0033021579770359
0.96490000,-0.0030738863574862
0.96880000,-0.0006854815366931
0.97270000,0.0048153413485208
0.97660000,0.0137599340415392
0.98050000,0.0257858102756245
0.98440000,0.0399264179560597
0.98830000,0.0548394674902070
0.99220000,0.0691033084086589
0.99610000,0.0815442296103444
1.00000000,0.0914647307888011
1.00390000,0.0987812693295576
1.00780000,0.1040011030912557
1.01170000,0.1079973922501504
1.01560000,0.1119029729624237
1.01960000,0.1167083289571212
1.02350000,0.1229255312110182
1.02740000,0.1308083795390264
1.03130000,0.1402310898010093
1.03520000,0.1506509093927478
1.03910000,0.1614184941682698
1.04300000,0.1719013476019815
1.04690000,0.1816443323344152
1.05080000,0.1904735425387046
1.05470000,0.1984610274403157
1.05860000,0.2058778625678400
1.06250000,0.2130390767824757
1.06640000,0.2202090116447378
1.07030000,0.2275233765575223
1.07420000,0.2348697530723233
1.07810000,0.2421155070458161
1.08210000,0.2489755618036521
1.08600000,0.2549175992497498
1.08990000,0.2597066171497164
1.09380000,0.2632649299425116
1.09770000,0.2654730362840143
1.10160000,0.2663449333045175
1.10550000,0.2659111499178098
1.10940000,0.2642149772967137
1.11330000,0.2613506623052381
1.11720000,0.2574742687800330
1.12110000,0.2528756116423405
1.12500000,0.2479959170969989
1.12890000,0.2434203954642121
1.13280000,0.2397903159729027
1.13670000,0.2376292029616635
1.14060000,0.2371866877816503
1.14460000,0.2382464373104693
1.14850000,0.2400235104261604
1.15240000,0.2412876731997503
1.15630000,0.2405230031039373
1.16020000,0.2361987561475733
1.16410000,0.2271294395098208
1.16800000,0.2127441299355606
1.17190000,0.1932313702918919
1.17580000,0.1694898467621176
1.17970000,0.1429514356539444
1.18360000,0.1152013321313646
1.18750000,0.0877239607716692
1.19140000,0.0615538501366554
1.19530000,0.0370822799355453
1.19920000,0.0143127844125379
1.20310000,-0.0076645674825706
1.20710000,-0.0297905033195726
1.21100000,-0.0521781825995882
1.21490000,-0.0754151454986769
1.21880000,-0.0998959476212245
1.22270000,-0.1252277042376367
1.22660000,-0.1510284476435858
1.23050000,-0.1768154190428178
1.23440000,-0.2021768501358615
1.23830000,-0.2269377449343770
1.24220000,-0.2510476574389929
1.24610000,-0.2746238008052518
1.25000000,-0.2977335859097863
1.25390000,-0.3203571269899637
1.25780000,-0.3423433542840023
1.26170000,-0.3631797463796432
1.26560000,-0.3825467151755734
1.26960000,-0.3998795786856398
1.27350000,-0.4140047414857911
1.27740000,-0.4244324565452691
1.28130000,-0.4309999289548728
1.28520000,-0.4334369345107091
1.28910000,-0.4318931103290178
1.29300000,-0.4266973504012750
1.29690000,-0.4183402281291651
1.30080000,-0.4074897849659576
1.30470000,-0.3949021282276420
1.30860000,-0.3814181178552140
1.31250000,-0.3679067136344381
1.31640000,-0.3551882593305064
1.32030000,-0.3439323181435458
1.32420000,-0.3346115999982336
1.32810000,-0.3272232234529300
1.33210000,-0.3213977287233032
1.33600000,-0.3165894507606614
1.33990000,-0.3118091998347428
1.34380000,-0.3059768395741030
1.34770000,-0.2983068223254023
1.35160000,-0.2883005546822526
1.35550000,-0.2759018699132350
1.35940000,-0.2614741309309150
1.36330000,-0.2456713969713372
1.36720000,-0.2293164187253195
1.37110000,-0.2131621861978895
1.37500000,-0.1977963261592253
1.37890000,-0.1835109361034954
1.38280000,-0.1702714784614062
1.38670000,-0.1579117957582402
1.39060000,-0.1458430832108990
1.39460000,-0.1335079715713842
1.39850000,-0.1208024748557024
1.40240000,-0.1073043384687452
1.40630000,-0.0926283859296039
1.41020000,-0.0767728432685891
1.41410000,-0.0597273893213501
1.41800000,-0.0416218624940749
1.42190000,-0.0227399067482802
1.42580000,-0.0035204601245124
1.42970000,0.0153792833213596
1.43360000,0.0331764490280750
1.43750000,0.0490483575887677
1.44140000,0.0622986742899867
1.44530000,0.0725048729860832
1.44920000,0.0795805351040840
1.45310000,0.0838336793374816
1.45710000,0.0858125916218261
1.46100000,0.0861113444501955
1.46490000,0.0853691169654493
1.46880000,0.0841241088322269
1.47270000,0.0827158652397128
1.47660000,0.0813538160084558
1.48050000,0.0801383305001377
1.48440000,0.0791226161399075
1.48830000,0.0783673440855196
1.49220000,0.0779491408238997
1.49610000,0.0779462277060554
1.50000000,0.0783856667160390
1.50390000,0.0792039776691573
1.50780000,0.0802432188708300
1.51170000,0.0812819219646305
1.51560000,0.0821023145774192
1.51960000,0.0825324195111250
1.52350000,0.0824914254902472
1.52740000,0.0820741140816859
1.53130000,0.0815731830182561
1.53520000,0.0814523188963402
1.53910000,0.0822984423678045
1.54300000,0.0847188474991738
1.54690000,0.0892292352641355
1.55080000,0.0961480329019992
1.55470000,0.1054883743461284
1.55860000,0.1169381616744987
1.56250000,0.1298531717016377
1.56640000,0.1433822201456159
1.57030000,0.1566232881088147
1.57420000,0.1686731592039276
1.57810000,0.1789937640011190
1.58210000,0.1872456054799184
1.58600000,0.1930887794298397
1.58990000,0.1967197924731014
1.59380000,0.1985998214864941
1.59770000,0.1991516157885762
1.60160000,0.1989377601329445
1.60550000,0.1984949629997455
1.60940000,0.1982865445139842
1.61330000,0.1986782199925461
1.61720000,0.1998634756569015
1.62110000,0.2018484647798911
1.62500000,0.2044297080618871
1.62890000,0.2072240444208396
1.63280000,0.2097353810123297
1.63670000,0.2114617709960921
1.64060000,0.2119760007934935
1.64460000,0.2110514603200968
1.64850000,0.2087533834192142
1.65240000,0.2053755911048765
1.65630000,0.2013967711270867
1.66020000,0.1973859447558005
1.66410000,0.1938413777203300
1.66800000,0.1911070849699588
1.67190000,0.1893333845390007
1.67580000,0.1884871706692298
1.67970000,0.1884051857004334
1.68360000,0.1888494046061464
1.68750000,0.1895684214488833
1.69140000,0.1903272875710744
1.69530000,0.1909151428954692
1.69920000,0.1911530195039238
1.70310000,0.1908542208217610
1.70710000,0.1898560782072687
1.71100000,0.1880647190490395
1.71490000,0.1854119464761070
1.71880000,0.1819130649156664
1.72270000,0.1777128106516256
1.72660000,0.1730469837870189
1.73050000,0.1682292584219277
1.73440000,0.1636069723178795
1.73830000,0.1595058012431452
1.74220000,0.1561856733493846
1.74610000,0.1537933505604499
1.75000000,0.1523404289172081
1.75390000,0.1516910203147682
1.75780000,0.1515728354002681
1.76170000,0.1516231950420252
1.76560000,0.1514155798019854
1.76960000,0.1505569606606147
1.77350000,0.1487821335918035
1.77740000,0.1459392318051184
1.78130000,0.1420354292283740
1.78520000,0.1372545395023939
1.78910000,0.1318918340225624
1.79300000,0.1263063807503652
1.79690000,0.1208497754668722
1.80080000,0.1158060496749083
1.80470000,0.1113709989370982
1.80860000,0.1076519651790203
1.81250000,0.1046880515907879
1.81640000,0.1024638352605136
1.82030000,0.1009181941968847
1.82420000,0.0999500440370857
1.82810000,0.0993944719225690
1.83210000,0.0990294362023293
1.83600000,0.0985987604914696
1.83990000,0.0978127626686626
1.84380000,0.0964086169558032
1.84770000,0.0942127818150178
1.85160000,0.0911603631746856
1.85550000,0.0873095261672078
1.85940000,0.0828233611299275
1.86330000,0.0779321128057343
1.86720000,0.0728943546840243
1.87110000,0.0679547318014553
1.87500000,0.0633247605703485
1.87890000,0.0591736312035746
1.88280000,0.0556375146491095
1.88670000,0.0528517778081046
1.89060000,0.0509370497309663
1.89460000,0.0500296994051724
1.89850000,0.0502893492632150
1.90240000,0.0517960703395356
1.90630000,0.0545426687095650
1.91020000,0.0584404676366091
1.91410000,0.0632835173780689
1.91800000,0.0687825228654540
1.92190000,0.0746027391862230
1.92580000,0.0803968209660801
1.92970000,0.0858363324198275
1.93360000,0.0906006633275536
1.93750000,0.0943886619148289
1.94140000,0.0969162833627272
1.94530000,0.0979475832761125
1.94920000,0.0973923315661919
1.95310000,0.0952497698642427
1.95710000,0.0917456902394857
1.96100000,0.0874267593336728
1.96490000,0.0828650574044345
1.96880000,0.0786488573056433
1.97270000,0.0753456894022931
1.97660000,0.0732454959837609
1.98050000,0.0723079225010527
1.98440000,0.0721420826909649
1.98830000,0.0720627098131547
1.99220000,0.0712744281933474
1.99610000,0.0689835388877307
2.00000000,0.0646040259537673
2.00390000,0.0578006961743593
2.00780000,0.0485028500370816
2.01170000,0.0370596972101523
2.01560000,0.0237175497242252
2.01960000,0.0089467732156521
2.02350000,-0.0062558221277104
2.02740000,-0.0214394215422023
2.03130000,-0.0363441175715732
2.03520000,-0.0505123452865213
