         time Top_Quarte... 
 4.127758e-02  1.930163e-04 
 4.160056e-02  1.994062e-04 
 4.192355e-02  2.059531e-04 
 4.224653e-02  2.126559e-04 
 4.256952e-02  2.195232e-04 
 4.289250e-02  2.265511e-04 
 4.321549e-02  2.337304e-04 
 4.353847e-02  2.410367e-04 
 4.386146e-02  2.484339e-04 
 4.418444e-02  2.559037e-04 
 4.450743e-02  2.634440e-04 
 4.483041e-02  2.710550e-04 
 4.515340e-02  2.787523e-04 
 4.547638e-02  2.865433e-04 
 4.579937e-02  2.944363e-04 
 4.612235e-02  3.024314e-04 
 4.644534e-02  3.105282e-04 
 4.676832e-02  3.187298e-04 
 4.709131e-02  3.270319e-04 
 4.741429e-02  3.354278e-04 
 4.773728e-02  3.439209e-04 
 4.806026e-02  3.525041e-04 
 4.838325e-02  3.611601e-04 
 4.870623e-02  3.698386e-04 
 4.902922e-02  3.785022e-04 
 4.935220e-02  3.871549e-04 
 4.967518e-02  3.958171e-04 
 4.999817e-02  4.045183e-04 
 5.032115e-02  4.132747e-04 
 5.064414e-02  4.220839e-04 
 5.096712e-02  4.309566e-04 
 5.129011e-02  4.398860e-04 
 5.161309e-02  4.488644e-04 
 5.193608e-02  4.578873e-04 
 5.225906e-02  4.669292e-04 
 5.258205e-02  4.759678e-04 
 5.290504e-02  4.849710e-04 
 5.322802e-02  4.939295e-04 
 5.355101e-02  5.028310e-04 
 5.387399e-02  5.116672e-04 
 5.419698e-02  5.204363e-04 
 5.451996e-02  5.291501e-04 
 5.484295e-02  5.378049e-04 
 5.516593e-02  5.464210e-04 
 5.548892e-02  5.550045e-04 
