         time tiltx_up_s... 
 1.639615e-01  2.234109e-02 
 1.643654e-01  2.301816e-02 
 1.647692e-01  2.359989e-02 
 1.651730e-01  2.406068e-02 
 1.655769e-01  2.439380e-02 
 1.659807e-01  2.459825e-02 
 1.663846e-01  2.467196e-02 
 1.667884e-01  2.458939e-02 
 1.671923e-01  2.435891e-02 
 1.675961e-01  2.397860e-02 
 1.680000e-01  2.344072e-02 
 1.684038e-01  2.274558e-02 
 1.688077e-01  2.190666e-02 
 1.692115e-01  2.094683e-02 
 1.696154e-01  1.988513e-02 
 1.700192e-01  1.873977e-02 
 1.704230e-01  1.752338e-02 
 1.708269e-01  1.624967e-02 
 1.712307e-01  1.492655e-02 
 1.716346e-01  1.354361e-02 
 1.720384e-01  1.211190e-02 
 1.724423e-01  1.064560e-02 
 1.728461e-01  9.160243e-03 
 1.732500e-01  7.656488e-03 
 1.736538e-01  6.144718e-03 
 1.740577e-01  4.634523e-03 
 1.744615e-01  3.117808e-03 
 1.748654e-01  1.583363e-03 
 1.752692e-01  3.566591e-05 
 1.756730e-01 -1.545394e-03 
 1.760769e-01 -3.150627e-03 
 1.764807e-01 -4.782617e-03 
 1.768846e-01 -6.421812e-03 
 1.772884e-01 -8.071870e-03 
 1.776923e-01 -9.728424e-03 
 1.780961e-01 -1.139112e-02 
 1.785000e-01 -1.306131e-02 
 1.789038e-01 -1.473432e-02 
 1.793077e-01 -1.640665e-02 
 1.797115e-01 -1.807029e-02 
 1.801154e-01 -1.972365e-02 
 1.805192e-01 -2.135059e-02 
 1.809230e-01 -2.295878e-02 
 1.813269e-01 -2.453907e-02 
 1.817307e-01 -2.607853e-02 
 1.821346e-01 -2.757906e-02 
 1.825384e-01 -2.902985e-02 
 1.829423e-01 -3.043832e-02 
 1.833461e-01 -3.181343e-02 
 1.837500e-01 -3.313173e-02 
 1.841538e-01 -3.442458e-02 
 1.845577e-01 -3.565791e-02 
 1.849615e-01 -3.682970e-02 
 1.853654e-01 -3.794996e-02 
 1.857692e-01 -3.900238e-02 
 1.861730e-01 -3.999473e-02 
 1.865769e-01 -4.092289e-02 
 1.869807e-01 -4.174593e-02 
 1.873846e-01 -4.244604e-02 
 1.877884e-01 -4.302433e-02 
 1.881923e-01 -4.347646e-02 
 1.885961e-01 -4.382282e-02 
 1.890000e-01 -4.405183e-02 
 1.894038e-01 -4.416939e-02 
 1.898077e-01 -4.417871e-02 
 1.902115e-01 -4.405783e-02 
 1.906154e-01 -4.382300e-02 
 1.910192e-01 -4.344806e-02 
 1.914230e-01 -4.293652e-02 
 1.918269e-01 -4.227845e-02 
 1.922307e-01 -4.146389e-02 
 1.926346e-01 -4.053179e-02 
 1.930384e-01 -3.948197e-02 
 1.934423e-01 -3.829859e-02 
 1.938461e-01 -3.700463e-02 
 1.942500e-01 -3.558399e-02 
 1.946538e-01 -3.404834e-02 
 1.950577e-01 -3.241520e-02 
 1.954615e-01 -3.069245e-02 
 1.958654e-01 -2.890269e-02 
 1.962692e-01 -2.705398e-02 
 1.966730e-01 -2.513662e-02 
 1.970769e-01 -2.317518e-02 
 1.974807e-01 -2.119188e-02 
 1.978846e-01 -1.919593e-02 
 1.982884e-01 -1.721100e-02 
 1.986923e-01 -1.524186e-02 
 1.990961e-01 -1.331156e-02 
 1.995000e-01 -1.141874e-02 
 1.999038e-01 -9.557034e-03 
 2.003077e-01 -7.730051e-03 
 2.007115e-01 -5.952341e-03 
 2.011154e-01 -4.212336e-03 
 2.015192e-01 -2.523081e-03 
 2.019230e-01 -8.835329e-04 
 2.023269e-01  7.017035e-04 
 2.027307e-01  2.238237e-03 
 2.031346e-01  3.701091e-03 
 2.035384e-01  5.076171e-03 
 2.039423e-01  6.348791e-03 
 2.043461e-01  7.494752e-03 
 2.047500e-01  8.517261e-03 
 2.051538e-01  9.412146e-03 
 2.055577e-01  1.017104e-02 
 2.059615e-01  1.082524e-02 
 2.063654e-01  1.138518e-02 
 2.067692e-01  1.184069e-02 
 2.071730e-01  1.220286e-02 
