         time tiltx_low_... 
 1.235769e-01 -4.832003e-02 
 1.239807e-01 -4.989328e-02 
 1.243846e-01 -5.138082e-02 
 1.247884e-01 -5.275095e-02 
 1.251923e-01 -5.399578e-02 
 1.255961e-01 -5.505698e-02 
 1.260000e-01 -5.595361e-02 
 1.264038e-01 -5.668262e-02 
 1.268077e-01 -5.726912e-02 
 1.272115e-01 -5.773743e-02 
 1.276154e-01 -5.814111e-02 
 1.280192e-01 -5.850939e-02 
 1.284231e-01 -5.888925e-02 
 1.288269e-01 -5.930657e-02 
 1.292307e-01 -5.977301e-02 
 1.296346e-01 -6.032959e-02 
 1.300384e-01 -6.098780e-02 
 1.304423e-01 -6.178364e-02 
 1.308461e-01 -6.273027e-02 
 1.312500e-01 -6.381073e-02 
 1.316538e-01 -6.499779e-02 
 1.320577e-01 -6.627929e-02 
 1.324615e-01 -6.763247e-02 
 1.328654e-01 -6.906427e-02 
 1.332692e-01 -7.052181e-02 
 1.336731e-01 -7.196843e-02 
 1.340769e-01 -7.338011e-02 
 1.344807e-01 -7.474360e-02 
 1.348846e-01 -7.610240e-02 
 1.352884e-01 -7.745599e-02 
 1.356923e-01 -7.880612e-02 
 1.360961e-01 -8.012092e-02 
 1.365000e-01 -8.137501e-02 
 1.369038e-01 -8.256406e-02 
 1.373077e-01 -8.368900e-02 
 1.377115e-01 -8.474437e-02 
 1.381154e-01 -8.574647e-02 
 1.385192e-01 -8.672623e-02 
 1.389231e-01 -8.771602e-02 
 1.393269e-01 -8.874812e-02 
 1.397307e-01 -8.984539e-02 
 1.401346e-01 -9.101488e-02 
 1.405384e-01 -9.222627e-02 
 1.409423e-01 -9.350463e-02 
 1.413461e-01 -9.479743e-02 
 1.417500e-01 -9.612929e-02 
 1.421538e-01 -9.745934e-02 
 1.425577e-01 -9.876353e-02 
 1.429615e-01 -1.000101e-01 
 1.433654e-01 -1.011963e-01 
 1.437692e-01 -1.023389e-01 
 1.441731e-01 -1.034206e-01 
 1.445769e-01 -1.044358e-01 
 1.449807e-01 -1.053316e-01 
 1.453846e-01 -1.060747e-01 
 1.457884e-01 -1.066541e-01 
 1.461923e-01 -1.069988e-01 
 1.465961e-01 -1.070906e-01 
 1.470000e-01 -1.068685e-01 
 1.474038e-01 -1.063181e-01 
 1.478077e-01 -1.054713e-01 
 1.482115e-01 -1.043697e-01 
 1.486154e-01 -1.030873e-01 
 1.490192e-01 -1.016507e-01 
 1.494231e-01 -1.001055e-01 
 1.498269e-01 -9.849964e-02 
 1.502307e-01 -9.688613e-02 
 1.506346e-01 -9.529983e-02 
 1.510384e-01 -9.374802e-02 
 1.514423e-01 -9.219846e-02 
 1.518461e-01 -9.064594e-02 
 1.522500e-01 -8.910309e-02 
 1.526538e-01 -8.754917e-02 
 1.530577e-01 -8.595087e-02 
 1.534615e-01 -8.426957e-02 
 1.538654e-01 -8.247436e-02 
 1.542692e-01 -8.054522e-02 
 1.546731e-01 -7.849071e-02 
 1.550769e-01 -7.634100e-02 
 1.554807e-01 -7.409418e-02 
 1.558846e-01 -7.176515e-02 
 1.562884e-01 -6.937551e-02 
 1.566923e-01 -6.693705e-02 
 1.570961e-01 -6.449909e-02 
 1.575000e-01 -6.209959e-02 
 1.579038e-01 -5.978941e-02 
 1.583077e-01 -5.757805e-02 
 1.587115e-01 -5.555300e-02 
 1.591154e-01 -5.374746e-02 
 1.595192e-01 -5.222948e-02 
 1.599231e-01 -5.101457e-02 
 1.603269e-01 -5.009183e-02 
 1.607307e-01 -4.942805e-02 
