time;sensor1 tvalx;sensor1 tminx;sensor1 tmaxx;sensor1 tvaly;sensor1 tminy;sensor1 tmaxy;sensor1 avalx1;sensor1 aminx1;sensor1 amaxx1;sensor1 avaly1;sensor1 aminy1;sensor1 amaxy1;sensor1 avalz1;sensor1 aminz1;sensor1 amaxz1;sensor1 avalx2;sensor1 aminx2;sensor1 amaxx2;sensor1 avaly2;sensor1 aminy2;sensor1 amaxy2;sensor1 avalz2;sensor1 aminz2;sensor1 amaxz2
17-12-2020_10:56:00;320,0;313,0;327,0;981,0;968,0;1001,0;118,0;-309,0;458,0;367,0;126,0;636,0;16742,0;16261,0;17189,0;-10,0;-292,0;220,0;446,0;293,0;573,0;16484,0;16224,0;16831,0
17-12-2020_10:56:05;320,0;316,0;326,0;981,0;969,0;997,0;123,0;-268,0;445,0;366,0;152,0;575,0;16743,0;16333,0;17298,0;-8,0;-279,0;244,0;449,0;316,0;596,0;16481,0;16227,0;16756,0
17-12-2020_10:56:10;319,0;314,0;327,0;980,0;969,0;994,0;118,0;-301,0;464,0;370,0;89,0;572,0;16743,0;16370,0;17173,0;-11,0;-275,0;239,0;449,0;303,0;591,0;16485,0;16226,0;16825,0
17-12-2020_10:56:15;319,0;312,0;328,0;980,0;967,0;992,0;120,0;-294,0;465,0;366,0;101,0;620,0;16742,0;16249,0;17249,0;-11,0;-286,0;242,0;449,0;309,0;568,0;16487,0;16193,0;16816,0
17-12-2020_10:56:20;320,0;310,0;332,0;980,0;959,0;996,0;121,0;-271,0;473,0;365,0;91,0;575,0;16744,0;16281,0;17264,0;-10,0;-278,0;238,0;447,0;301,0;592,0;16488,0;16228,0;16803,0
17-12-2020_10:56:25;320,0;314,0;326,0;981,0;969,0;992,0;123,0;-283,0;492,0;366,0;133,0;618,0;16748,0;16334,0;17210,0;-6,0;-299,0;245,0;445,0;290,0;585,0;16482,0;16230,0;16773,0
17-12-2020_10:56:30;320,0;315,0;325,0;983,0;970,0;998,0;122,0;-252,0;448,0;367,0;144,0;559,0;16748,0;16196,0;17190,0;-10,0;-287,0;254,0;448,0;297,0;603,0;16486,0;16238,0;16789,0
17-12-2020_10:56:35;320,0;315,0;327,0;982,0;967,0;997,0;122,0;-279,0;477,0;365,0;73,0;602,0;16743,0;16291,0;17281,0;-8,0;-301,0;233,0;449,0;304,0;629,0;16487,0;16183,0;16764,0
17-12-2020_10:56:40;320,0;315,0;326,0;981,0;970,0;993,0;122,0;-247,0;475,0;368,0;124,0;599,0;16747,0;16361,0;17185,0;-8,0;-281,0;249,0;452,0;279,0;588,0;16490,0;16237,0;16814,0
17-12-2020_10:56:45;320,0;312,0;327,0;981,0;968,0;995,0;124,0;-213,0;475,0;366,0;124,0;616,0;16740,0;16328,0;17254,0;-7,0;-276,0;255,0;451,0;293,0;596,0;16486,0;16221,0;16784,0
17-12-2020_10:56:50;319,0;312,0;325,0;980,0;966,0;991,0;121,0;-252,0;473,0;363,0;106,0;656,0;16745,0;16399,0;17262,0;-11,0;-280,0;223,0;448,0;297,0;586,0;16484,0;16182,0;16774,0
17-12-2020_10:56:55;319,0;314,0;326,0;979,0;969,0;992,0;120,0;-263,0;478,0;368,0;127,0;575,0;16742,0;16336,0;17250,0;-9,0;-271,0;249,0;448,0;286,0;624,0;16482,0;16213,0;16805,0
17-12-2020_10:57:00;319,0;315,0;325,0;979,0;967,0;992,0;122,0;-186,0;485,0;366,0;122,0;588,0;16745,0;16350,0;17195,0;-6,0;-297,0;263,0;447,0;302,0;594,0;16486,0;16161,0;16754,0
17-12-2020_10:57:05;319,0;301,0;331,0;964,0;249,0;1383,0;121,0;-246,0;482,0;370,0;-224,0;908,0;16748,0;16359,0;17281,0;-8,0;-273,0;267,0;449,0;-153,0;929,0;16486,0;16176,0;16780,0
17-12-2020_10:57:10;332,0;226,0;503,0;1086,0;-7172,0;10903,0;121,0;-848,0;847,0;367,0;-3467,0;3393,0;16743,0;15322,0;18059,0;-11,0;-613,0;656,0;450,0;-3335,0;3403,0;16481,0;15403,0;17365,0
17-12-2020_10:57:15;336,0;324,0;350,0;1000,0;135,0;2237,0;121,0;-244,0;447,0;367,0;17,0;657,0;16746,0;16286,0;17158,0;-10,0;-278,0;263,0;448,0;196,0;647,0;16483,0;16207,0;16752,0
17-12-2020_10:57:20;335,0;328,0;342,0;1022,0;722,0;1354,0;120,0;-242,0;454,0;368,0;106,0;621,0;16743,0;16359,0;17210,0;-10,0;-311,0;231,0;449,0;287,0;621,0;16483,0;16247,0;16811,0
17-12-2020_10:57:25;335,0;329,0;342,0;1034,0;819,0;1146,0;124,0;-228,0;455,0;368,0;121,0;637,0;16744,0;16302,0;17246,0;-12,0;-281,0;261,0;447,0;288,0;587,0;16485,0;16197,0;16786,0
17-12-2020_10:57:30;335,0;329,0;341,0;1032,0;1021,0;1056,0;116,0;-215,0;428,0;370,0;119,0;620,0;16748,0;16243,0;17218,0;-10,0;-298,0;275,0;449,0;305,0;638,0;16481,0;16196,0;16744,0
17-12-2020_10:57:35;335,0;328,0;345,0;1032,0;1017,0;1046,0;120,0;-229,0;474,0;367,0;101,0;599,0;16743,0;16242,0;17252,0;-14,0;-325,0;273,0;450,0;273,0;586,0;16486,0;16209,0;16807,0
17-12-2020_10:57:40;335,0;329,0;341,0;1032,0;1017,0;1045,0;118,0;-242,0;465,0;366,0;115,0;611,0;16746,0;16318,0;17264,0;-13,0;-288,0;231,0;450,0;293,0;604,0;16485,0;16210,0;16866,0
17-12-2020_10:57:45;334,0;330,0;340,0;1030,0;1019,0;1044,0;115,0;-234,0;465,0;368,0;108,0;626,0;16747,0;16320,0;17228,0;-8,0;-254,0;237,0;448,0;301,0;586,0;16484,0;16197,0;16793,0
17-12-2020_10:57:50;334,0;328,0;340,0;1030,0;1019,0;1043,0;119,0;-220,0;455,0;368,0;89,0;618,0;16751,0;16348,0;17225,0;-9,0;-265,0;243,0;449,0;317,0;588,0;16484,0;16226,0;16775,0
17-12-2020_10:57:55;334,0;328,0;341,0;1030,0;1017,0;1044,0;120,0;-249,0;473,0;368,0;137,0;608,0;16748,0;16294,0;17252,0;-10,0;-271,0;245,0;450,0;303,0;607,0;16482,0;16220,0;16735,0
17-12-2020_10:58:00;334,0;329,0;342,0;1029,0;1015,0;1046,0;116,0;-309,0;455,0;369,0;133,0;595,0;16744,0;16339,0;17273,0;-8,0;-271,0;236,0;448,0;299,0;586,0;16484,0;16230,0;16787,0
17-12-2020_10:58:05;334,0;323,0;347,0;1028,0;1004,0;1054,0;120,0;-308,0;431,0;368,0;140,0;609,0;16748,0;16214,0;17290,0;-8,0;-313,0;247,0;450,0;314,0;601,0;16484,0;16215,0;16763,0
17-12-2020_10:58:10;334,0;324,0;343,0;1028,0;1011,0;1048,0;123,0;-296,0;436,0;368,0;131,0;636,0;16741,0;16345,0;17244,0;-10,0;-281,0;236,0;448,0;301,0;599,0;16483,0;16155,0;16806,0
17-12-2020_10:58:15;334,0;329,0;340,0;1028,0;1013,0;1040,0;116,0;-290,0;451,0;367,0;151,0;629,0;16744,0;16374,0;17216,0;-11,0;-263,0;246,0;448,0;312,0;596,0;16484,0;16208,0;16819,0
17-12-2020_10:58:20;334,0;328,0;340,0;1027,0;1016,0;1040,0;115,0;-235,0;466,0;370,0;102,0;569,0;16748,0;16333,0;17187,0;-5,0;-262,0;262,0;450,0;311,0;596,0;16483,0;16181,0;16788,0
17-12-2020_10:58:25;334,0;330,0;341,0;1027,0;1013,0;1038,0;118,0;-308,0;452,0;365,0;100,0;626,0;16743,0;16291,0;17209,0;-11,0;-312,0;268,0;451,0;312,0;597,0;16480,0;16220,0;16774,0
17-12-2020_10:58:30;334,0;328,0;339,0;1026,0;1015,0;1039,0;120,0;-222,0;444,0;366,0;126,0;588,0;16741,0;16351,0;17205,0;-11,0;-294,0;265,0;449,0;284,0;604,0;16483,0;16187,0;16793,0
17-12-2020_10:58:35;334,0;328,0;340,0;1025,0;1014,0;1041,0;120,0;-266,0;473,0;366,0;120,0;576,0;16750,0;16344,0;17227,0;-8,0;-297,0;254,0;448,0;304,0;598,0;16483,0;16216,0;16756,0
17-12-2020_10:58:40;334,0;328,0;341,0;1025,0;1011,0;1036,0;117,0;-266,0;455,0;368,0;162,0;604,0;16748,0;16290,0;17239,0;-12,0;-280,0;248,0;449,0;321,0;609,0;16482,0;16192,0;16781,0
17-12-2020_10:58:45;334,0;327,0;342,0;1025,0;1016,0;1047,0;119,0;-244,0;459,0;367,0;99,0;629,0;16745,0;16375,0;17289,0;-10,0;-269,0;260,0;449,0;301,0;595,0;16481,0;16245,0;16760,0
17-12-2020_10:58:50;334,0;328,0;340,0;1026,0;1014,0;1039,0;115,0;-250,0;462,0;368,0;132,0;604,0;16748,0;16323,0;17201,0;-13,0;-276,0;252,0;449,0;298,0;596,0;16482,0;16180,0;16730,0
17-12-2020_10:58:55;334,0;327,0;341,0;1026,0;1013,0;1037,0;119,0;-225,0;476,0;371,0;113,0;612,0;16747,0;16336,0;17282,0;-8,0;-275,0;269,0;447,0;300,0;624,0;16480,0;16186,0;16741,0
17-12-2020_10:59:00;333,0;328,0;341,0;1025,0;1013,0;1039,0;122,0;-241,0;461,0;370,0;103,0;605,0;16747,0;16298,0;17246,0;-9,0;-316,0;240,0;448,0;271,0;577,0;16481,0;16187,0;16786,0
17-12-2020_10:59:05;334,0;329,0;339,0;1025,0;1009,0;1037,0;119,0;-253,0;438,0;368,0;142,0;599,0;16743,0;16282,0;17209,0;-8,0;-268,0;257,0;446,0;313,0;604,0;16482,0;16233,0;16769,0
17-12-2020_10:59:10;333,0;326,0;340,0;1026,0;1012,0;1041,0;118,0;-206,0;454,0;368,0;130,0;574,0;16744,0;16321,0;17236,0;-5,0;-318,0;240,0;448,0;309,0;572,0;16482,0;16194,0;16761,0
17-12-2020_10:59:20;334,0;327,0;340,0;1027,0;1013,0;1043,0;119,0;-293,0;489,0;364,0;147,0;576,0;16748,0;16344,0;17268,0;-10,0;-263,0;260,0;449,0;284,0;587,0;16485,0;16168,0;16777,0
17-12-2020_10:59:25;333,0;328,0;339,0;1028,0;1016,0;1044,0;114,0;-296,0;463,0;367,0;110,0;570,0;16745,0;16301,0;17235,0;-11,0;-280,0;242,0;448,0;267,0;588,0;16486,0;16226,0;16778,0
17-12-2020_10:59:30;333,0;327,0;339,0;1027,0;1013,0;1038,0;121,0;-212,0;463,0;367,0;117,0;600,0;16745,0;16345,0;17283,0;-14,0;-290,0;252,0;448,0;270,0;592,0;16482,0;16196,0;16776,0
17-12-2020_10:59:35;333,0;326,0;342,0;1027,0;1000,0;1054,0;114,0;-254,0;442,0;364,0;142,0;564,0;16746,0;16263,0;17199,0;-15,0;-330,0;245,0;448,0;283,0;612,0;16482,0;16230,0;16787,0
17-12-2020_10:59:40;333,0;328,0;340,0;1026,0;1014,0;1041,0;117,0;-274,0;431,0;369,0;134,0;593,0;16743,0;16320,0;17268,0;-10,0;-259,0;246,0;447,0;309,0;592,0;16479,0;16190,0;16775,0
17-12-2020_10:59:45;333,0;329,0;339,0;1025,0;1014,0;1040,0;117,0;-234,0;451,0;370,0;139,0;572,0;16748,0;16375,0;17202,0;-12,0;-290,0;251,0;447,0;313,0;603,0;16480,0;16176,0;16832,0
17-12-2020_10:59:50;333,0;329,0;340,0;1025,0;1012,0;1036,0;119,0;-214,0;452,0;368,0;128,0;612,0;16752,0;16240,0;17288,0;-10,0;-288,0;240,0;447,0;291,0;599,0;16479,0;16214,0;16771,0
17-12-2020_10:59:55;333,0;326,0;340,0;1024,0;1009,0;1036,0;112,0;-207,0;492,0;371,0;116,0;582,0;16751,0;16287,0;17250,0;-10,0;-279,0;217,0;447,0;289,0;616,0;16479,0;16229,0;16796,0
17-12-2020_11:00:00;333,0;328,0;338,0;1023,0;1011,0;1036,0;116,0;-233,0;476,0;369,0;159,0;586,0;16748,0;16392,0;17274,0;-12,0;-288,0;228,0;448,0;293,0;590,0;16478,0;16209,0;16798,0
17-12-2020_11:00:05;332,0;326,0;339,0;1026,0;1012,0;1039,0;114,0;-327,0;444,0;371,0;140,0;566,0;16742,0;16353,0;17288,0;-12,0;-315,0;239,0;447,0;297,0;580,0;16478,0;16199,0;16818,0
17-12-2020_11:00:10;333,0;328,0;338,0;1027,0;1015,0;1039,0;115,0;-286,0;458,0;367,0;128,0;611,0;16744,0;16349,0;17234,0;-11,0;-313,0;243,0;447,0;305,0;602,0;16476,0;16148,0;16781,0
17-12-2020_11:00:15;332,0;327,0;338,0;1027,0;1013,0;1038,0;119,0;-228,0;442,0;367,0;120,0;569,0;16747,0;16345,0;17221,0;-12,0;-293,0;248,0;447,0;290,0;607,0;16479,0;16190,0;16781,0
17-12-2020_11:00:20;332,0;327,0;339,0;1026,0;1015,0;1041,0;120,0;-253,0;449,0;370,0;120,0;606,0;16745,0;16190,0;17192,0;-10,0;-299,0;257,0;447,0;275,0;583,0;16480,0;16204,0;16760,0
17-12-2020_11:00:25;332,0;327,0;336,0;1026,0;1013,0;1038,0;116,0;-225,0;428,0;369,0;111,0;629,0;16748,0;16316,0;17189,0;-14,0;-291,0;239,0;447,0;259,0;596,0;16478,0;16210,0;16755,0
17-12-2020_11:00:30;332,0;325,0;337,0;1025,0;1013,0;1037,0;118,0;-209,0;471,0;370,0;109,0;606,0;16746,0;16317,0;17242,0;-10,0;-327,0;221,0;450,0;298,0;623,0;16476,0;16183,0;16785,0
17-12-2020_11:00:35;332,0;327,0;336,0;1027,0;1018,0;1039,0;121,0;-226,0;448,0;368,0;148,0;664,0;16746,0;16353,0;17241,0;-12,0;-301,0;256,0;448,0;301,0;593,0;16481,0;16190,0;16745,0
17-12-2020_11:00:40;332,0;327,0;337,0;1026,0;1015,0;1039,0;115,0;-298,0;457,0;371,0;140,0;609,0;16748,0;16324,0;17186,0;-10,0;-336,0;263,0;450,0;291,0;617,0;16477,0;16208,0;16776,0
17-12-2020_11:00:45;332,0;329,0;337,0;1028,0;1016,0;1041,0;118,0;-239,0;459,0;372,0;133,0;598,0;16750,0;16327,0;17249,0;-11,0;-267,0;219,0;446,0;298,0;596,0;16482,0;16143,0;16772,0
17-12-2020_11:00:50;332,0;327,0;337,0;1030,0;1018,0;1042,0;123,0;-249,0;467,0;371,0;132,0;597,0;16746,0;16226,0;17260,0;-11,0;-279,0;252,0;446,0;284,0;590,0;16476,0;16104,0;16756,0
17-12-2020_11:00:55;332,0;328,0;336,0;1030,0;1019,0;1042,0;116,0;-227,0;461,0;372,0;107,0;583,0;16750,0;16224,0;17263,0;-11,0;-266,0;242,0;446,0;317,0;613,0;16478,0;16185,0;16770,0
17-12-2020_11:01:00;331,0;327,0;337,0;1029,0;1017,0;1041,0;122,0;-221,0;470,0;369,0;136,0;616,0;16747,0;16299,0;17190,0;-10,0;-335,0;240,0;448,0;301,0;588,0;16479,0;16188,0;16825,0
17-12-2020_11:01:05;332,0;328,0;336,0;1028,0;1019,0;1040,0;120,0;-270,0;456,0;370,0;119,0;585,0;16751,0;16347,0;17266,0;-12,0;-337,0;240,0;448,0;289,0;602,0;16481,0;16222,0;16817,0
17-12-2020_11:01:10;331,0;327,0;336,0;1027,0;1018,0;1040,0;117,0;-230,0;479,0;370,0;135,0;607,0;16749,0;16330,0;17191,0;-9,0;-269,0;255,0;447,0;284,0;611,0;16477,0;16153,0;16762,0
17-12-2020_11:01:15;332,0;327,0;336,0;1027,0;1016,0;1039,0;117,0;-288,0;456,0;367,0;131,0;611,0;16751,0;16348,0;17263,0;-8,0;-280,0;249,0;445,0;283,0;580,0;16478,0;16227,0;16748,0
17-12-2020_11:01:20;331,0;327,0;338,0;1028,0;1016,0;1039,0;118,0;-231,0;436,0;371,0;153,0;663,0;16744,0;16314,0;17195,0;-14,0;-257,0;237,0;445,0;304,0;610,0;16477,0;16236,0;16760,0
17-12-2020_11:01:25;331,0;327,0;337,0;1029,0;1018,0;1039,0;117,0;-261,0;460,0;371,0;144,0;607,0;16750,0;16344,0;17189,0;-11,0;-295,0;248,0;445,0;306,0;616,0;16472,0;16199,0;16775,0
17-12-2020_11:01:30;331,0;327,0;336,0;1029,0;1016,0;1040,0;118,0;-234,0;476,0;369,0;134,0;638,0;16749,0;16318,0;17307,0;-13,0;-302,0;260,0;445,0;295,0;586,0;16477,0;16227,0;16838,0
17-12-2020_11:01:35;331,0;327,0;338,0;1029,0;1019,0;1041,0;120,0;-328,0;464,0;369,0;122,0;601,0;16749,0;16352,0;17242,0;-11,0;-253,0;274,0;447,0;303,0;599,0;16479,0;16200,0;16807,0
17-12-2020_11:01:40;331,0;326,0;338,0;1028,0;1018,0;1039,0;123,0;-234,0;469,0;370,0;130,0;586,0;16752,0;16346,0;17219,0;-9,0;-269,0;223,0;448,0;309,0;616,0;16478,0;16180,0;16796,0
17-12-2020_11:01:45;331,0;327,0;336,0;1027,0;1016,0;1039,0;115,0;-213,0;462,0;370,0;123,0;591,0;16748,0;16338,0;17231,0;-9,0;-307,0;258,0;446,0;266,0;591,0;16479,0;16208,0;16762,0
17-12-2020_11:01:50;331,0;319,0;342,0;1028,0;1015,0;1042,0;117,0;-253,0;450,0;371,0;84,0;619,0;16748,0;16300,0;17325,0;-17,0;-286,0;262,0;448,0;302,0;592,0;16478,0;16125,0;16845,0
17-12-2020_11:01:55;331,0;326,0;336,0;1028,0;1018,0;1044,0;117,0;-312,0;488,0;371,0;140,0;602,0;16749,0;16348,0;17238,0;-12,0;-282,0;248,0;447,0;299,0;626,0;16480,0;16211,0;16746,0
17-12-2020_11:02:00;331,0;326,0;336,0;1029,0;1017,0;1044,0;117,0;-226,0;444,0;374,0;75,0;626,0;16749,0;16307,0;17274,0;-11,0;-327,0;233,0;448,0;308,0;600,0;16479,0;16185,0;16817,0
17-12-2020_11:02:05;330,0;327,0;336,0;1029,0;1018,0;1040,0;113,0;-238,0;464,0;372,0;124,0;586,0;16746,0;16355,0;17232,0;-10,0;-299,0;253,0;449,0;309,0;591,0;16477,0;16181,0;16764,0
17-12-2020_11:02:10;331,0;323,0;341,0;1030,0;1020,0;1042,0;116,0;-251,0;452,0;371,0;112,0;567,0;16747,0;16212,0;17218,0;-14,0;-275,0;223,0;451,0;314,0;588,0;16477,0;16137,0;16799,0
17-12-2020_11:02:15;330,0;325,0;336,0;1029,0;1017,0;1042,0;120,0;-219,0;473,0;369,0;90,0;579,0;16747,0;16266,0;17288,0;-6,0;-301,0;234,0;449,0;290,0;589,0;16478,0;16165,0;16783,0
17-12-2020_11:02:20;331,0;326,0;336,0;1030,0;1016,0;1043,0;117,0;-235,0;443,0;371,0;94,0;599,0;16748,0;16336,0;17198,0;-9,0;-274,0;244,0;447,0;306,0;588,0;16477,0;16164,0;16783,0
17-12-2020_11:02:25;330,0;326,0;335,0;1029,0;1017,0;1043,0;118,0;-314,0;472,0;370,0;46,0;601,0;16754,0;16341,0;17244,0;-10,0;-276,0;256,0;449,0;298,0;590,0;16475,0;16197,0;16778,0
17-12-2020_11:02:30;331,0;323,0;337,0;1029,0;1018,0;1042,0;117,0;-284,0;444,0;373,0;165,0;609,0;16753,0;16380,0;17194,0;-7,0;-307,0;253,0;451,0;318,0;587,0;16478,0;16224,0;16742,0
17-12-2020_11:02:35;330,0;326,0;336,0;1029,0;1013,0;1046,0;115,0;-191,0;486,0;371,0;122,0;611,0;16748,0;16273,0;17243,0;-15,0;-271,0;285,0;450,0;311,0;615,0;16483,0;16188,0;16792,0
17-12-2020_11:02:40;330,0;325,0;336,0;1027,0;1015,0;1045,0;115,0;-308,0;447,0;369,0;150,0;587,0;16753,0;16334,0;17212,0;-6,0;-284,0;243,0;450,0;292,0;589,0;16478,0;16198,0;16779,0
17-12-2020_11:02:45;330,0;327,0;334,0;1027,0;1017,0;1038,0;120,0;-256,0;432,0;369,0;139,0;600,0;16749,0;16348,0;17222,0;-12,0;-294,0;240,0;449,0;301,0;592,0;16481,0;16208,0;16784,0
17-12-2020_11:02:50;330,0;325,0;336,0;1026,0;1017,0;1038,0;119,0;-207,0;465,0;370,0;118,0;614,0;16748,0;16231,0;17275,0;-6,0;-266,0;247,0;448,0;302,0;595,0;16476,0;16145,0;16802,0
17-12-2020_11:02:55;330,0;319,0;338,0;1025,0;1011,0;1040,0;114,0;-255,0;445,0;369,0;125,0;595,0;16753,0;16289,0;17239,0;-11,0;-292,0;297,0;448,0;288,0;596,0;16480,0;16190,0;16766,0
17-12-2020_11:03:00;330,0;326,0;336,0;1025,0;1010,0;1041,0;115,0;-236,0;480,0;372,0;82,0;577,0;16749,0;16369,0;17217,0;-5,0;-310,0;238,0;449,0;266,0;592,0;16476,0;16214,0;16807,0
17-12-2020_11:03:05;330,0;325,0;334,0;1025,0;1010,0;1036,0;117,0;-261,0;451,0;369,0;119,0;609,0;16751,0;16381,0;17217,0;-10,0;-294,0;235,0;449,0;288,0;608,0;16481,0;16160,0;16809,0
17-12-2020_11:03:10;330,0;325,0;335,0;1025,0;1015,0;1038,0;119,0;-240,0;462,0;372,0;136,0;604,0;16747,0;16328,0;17198,0;-10,0;-301,0;250,0;449,0;307,0;601,0;16478,0;16228,0;16783,0
17-12-2020_11:03:15;330,0;324,0;338,0;1025,0;1007,0;1037,0;118,0;-201,0;425,0;370,0;131,0;581,0;16751,0;16326,0;17168,0;-9,0;-267,0;245,0;451,0;311,0;581,0;16477,0;16191,0;16764,0
17-12-2020_11:03:20;330,0;325,0;335,0;1024,0;1014,0;1038,0;116,0;-198,0;461,0;369,0;157,0;609,0;16751,0;16302,0;17295,0;-8,0;-283,0;233,0;449,0;290,0;596,0;16475,0;16229,0;16723,0
17-12-2020_11:03:25;329,0;324,0;336,0;1024,0;1011,0;1039,0;111,0;-248,0;447,0;370,0;125,0;601,0;16757,0;16290,0;17273,0;-12,0;-285,0;226,0;449,0;315,0;619,0;16479,0;16136,0;16758,0
17-12-2020_11:03:30;329,0;325,0;335,0;1024,0;1012,0;1037,0;115,0;-278,0;443,0;370,0;83,0;574,0;16749,0;16336,0;17300,0;-9,0;-309,0;245,0;449,0;314,0;587,0;16474,0;16189,0;16771,0
17-12-2020_11:03:35;329,0;325,0;335,0;1025,0;1016,0;1039,0;114,0;-265,0;465,0;371,0;122,0;614,0;16752,0;16313,0;17301,0;-12,0;-284,0;248,0;449,0;304,0;623,0;16474,0;16210,0;16821,0
17-12-2020_11:03:40;329,0;324,0;335,0;1025,0;1012,0;1038,0;113,0;-198,0;463,0;370,0;96,0;592,0;16751,0;16290,0;17227,0;-15,0;-299,0;268,0;449,0;313,0;578,0;16478,0;16140,0;16792,0
17-12-2020_11:03:45;329,0;325,0;334,0;1026,0;1013,0;1039,0;118,0;-307,0;462,0;371,0;105,0;592,0;16751,0;16343,0;17262,0;-10,0;-270,0;234,0;448,0;304,0;584,0;16476,0;16195,0;16799,0
17-12-2020_11:03:50;329,0;323,0;334,0;1025,0;1016,0;1038,0;119,0;-301,0;458,0;372,0;152,0;610,0;16757,0;16364,0;17232,0;-11,0;-274,0;231,0;447,0;299,0;630,0;16476,0;16194,0;16802,0
17-12-2020_11:03:55;329,0;325,0;335,0;1026,0;1013,0;1039,0;118,0;-206,0;471,0;371,0;141,0;618,0;16751,0;16219,0;17303,0;-8,0;-278,0;259,0;448,0;292,0;603,0;16473,0;16195,0;16764,0
17-12-2020_11:04:00;329,0;324,0;335,0;1025,0;1010,0;1041,0;114,0;-210,0;455,0;370,0;143,0;624,0;16753,0;16361,0;17242,0;-8,0;-277,0;248,0;448,0;273,0;581,0;16478,0;16194,0;16762,0
17-12-2020_11:04:05;329,0;323,0;333,0;1025,0;1013,0;1036,0;116,0;-275,0;457,0;369,0;129,0;618,0;16753,0;16351,0;17265,0;-8,0;-291,0;243,0;448,0;304,0;595,0;16480,0;16183,0;16777,0
17-12-2020_11:04:10;329,0;323,0;336,0;1026,0;770,0;1174,0;111,0;-238,0;460,0;374,0;116,0;595,0;16758,0;16287,0;17293,0;-10,0;-286,0;258,0;448,0;293,0;623,0;16479,0;16241,0;16752,0
17-12-2020_11:04:15;329,0;323,0;334,0;1027,0;1014,0;1040,0;117,0;-304,0;470,0;372,0;125,0;599,0;16757,0;16364,0;17262,0;-10,0;-300,0;256,0;449,0;319,0;600,0;16477,0;16206,0;16750,0
17-12-2020_11:04:20;329,0;324,0;337,0;1027,0;1017,0;1038,0;121,0;-268,0;474,0;371,0;120,0;608,0;16761,0;16378,0;17270,0;-9,0;-262,0;229,0;451,0;297,0;600,0;16478,0;16240,0;16764,0
