time;sensor1 tvalx;sensor1 tminx;sensor1 tmaxx;sensor1 tvaly;sensor1 tminy;sensor1 tmaxy;sensor1 avalx1;sensor1 aminx1;sensor1 amaxx1;sensor1 avaly1;sensor1 aminy1;sensor1 amaxy1;sensor1 avalz1;sensor1 aminz1;sensor1 amaxz1;sensor1 avalx2;sensor1 aminx2;sensor1 amaxx2;sensor1 avaly2;sensor1 aminy2;sensor1 amaxy2;sensor1 avalz2;sensor1 aminz2;sensor1 amaxz2
04-01-2021_12:10:00;-18,0;-23,0;-14,0;-109,0;-395,0;-5,0;218,0;-185,0;539,0;330,0;86,0;564,0;16615,0;16149,0;17048,0;-13,0;-275,0;229,0;418,0;251,0;551,0;16596,0;16320,0;16910,0
04-01-2021_12:10:05;-15,0;-113,0;92,0;-43,0;-8066,0;8865,0;212,0;-264,0;686,0;333,0;-1953,0;2885,0;16618,0;14950,0;18027,0;-17,0;-456,0;355,0;420,0;-1767,0;2815,0;16596,0;15569,0;17688,0
04-01-2021_12:10:10;-11,0;-28,0;2,0;-34,0;-512,0;1097,0;213,0;-119,0;568,0;330,0;-179,0;750,0;16613,0;16100,0;17169,0;-11,0;-280,0;228,0;417,0;73,0;746,0;16590,0;16239,0;16918,0
04-01-2021_12:10:15;-13,0;-23,0;-6,0;-43,0;-369,0;257,0;215,0;-164,0;558,0;331,0;41,0;602,0;16618,0;16163,0;17109,0;-14,0;-304,0;263,0;418,0;201,0;609,0;16592,0;16292,0;16887,0
04-01-2021_12:10:20;-13,0;-17,0;-10,0;-23,0;-89,0;70,0;221,0;-197,0;537,0;332,0;87,0;576,0;16614,0;16168,0;17077,0;-11,0;-312,0;248,0;418,0;257,0;556,0;16594,0;16281,0;16860,0
04-01-2021_12:10:25;-13,0;-20,0;-7,0;-38,0;-52,0;-22,0;217,0;-168,0;556,0;336,0;100,0;584,0;16618,0;16207,0;17083,0;-9,0;-270,0;254,0;419,0;248,0;552,0;16592,0;16310,0;16878,0
04-01-2021_12:10:30;-13,0;-19,0;-8,0;-40,0;-54,0;-24,0;215,0;-115,0;574,0;331,0;58,0;556,0;16610,0;16147,0;17069,0;-11,0;-260,0;247,0;420,0;268,0;551,0;16595,0;16338,0;16882,0
04-01-2021_12:10:35;-13,0;-19,0;-7,0;-42,0;-55,0;-30,0;213,0;-117,0;553,0;334,0;115,0;556,0;16615,0;16182,0;17112,0;-12,0;-271,0;234,0;420,0;278,0;550,0;16593,0;16310,0;16868,0
04-01-2021_12:10:40;-14,0;-21,0;-9,0;-44,0;-62,0;-31,0;214,0;-197,0;566,0;330,0;92,0;587,0;16617,0;16122,0;17072,0;-12,0;-298,0;248,0;422,0;269,0;561,0;16589,0;16303,0;16845,0
04-01-2021_12:10:45;-14,0;-19,0;-10,0;-46,0;-60,0;-32,0;221,0;-183,0;577,0;333,0;81,0;541,0;16615,0;16243,0;16999,0;-9,0;-286,0;226,0;419,0;251,0;573,0;16590,0;16282,0;16864,0
