         time tiltx_low_... 
 7.176345e-01  3.409270e-02 
 7.180383e-01  3.543747e-02 
 7.184422e-01  3.674692e-02 
 7.188460e-01  3.800059e-02 
 7.192499e-01  3.917419e-02 
 7.196537e-01  4.037496e-02 
 7.200576e-01  4.164643e-02 
 7.204614e-01  4.299526e-02 
 7.208653e-01  4.443229e-02 
 7.212691e-01  4.592548e-02 
 7.216730e-01  4.743092e-02 
 7.220768e-01  4.894463e-02 
 7.224806e-01  5.049870e-02 
 7.228845e-01  5.209702e-02 
 7.232883e-01  5.374387e-02 
 7.236922e-01  5.545722e-02 
 7.240960e-01  5.718836e-02 
 7.244999e-01  5.892419e-02 
 7.249037e-01  6.062873e-02 
 7.253076e-01  6.225352e-02 
 7.257114e-01  6.369845e-02 
 7.261153e-01  6.490700e-02 
 7.265191e-01  6.577563e-02 
 7.269230e-01  6.621743e-02 
 7.273268e-01  6.619125e-02 
 7.277306e-01  6.563549e-02 
 7.281345e-01  6.450698e-02 
 7.285383e-01  6.281943e-02 
 7.289422e-01  6.054513e-02 
 7.293460e-01  5.771211e-02 
 7.297499e-01  5.434473e-02 
 7.301537e-01  5.047044e-02 
 7.305576e-01  4.615710e-02 
 7.309614e-01  4.149265e-02 
 7.313653e-01  3.655401e-02 
 7.317691e-01  3.146081e-02 
 7.321730e-01  2.631713e-02 
 7.325768e-01  2.119530e-02 
 7.329806e-01  1.620644e-02 
 7.333845e-01  1.141420e-02 
 7.337883e-01  6.856148e-03 
 7.341922e-01  2.519321e-03 
 7.345960e-01 -1.591859e-03 
 7.349999e-01 -5.568066e-03 
 7.354037e-01 -9.561938e-03 
 7.358076e-01 -1.362445e-02 
 7.362114e-01 -1.783924e-02 
 7.366153e-01 -2.225311e-02 
 7.370191e-01 -2.683956e-02 
 7.374230e-01 -3.155112e-02 
 7.378268e-01 -3.633305e-02 
 7.382306e-01 -4.116008e-02 
 7.386345e-01 -4.591211e-02 
 7.390383e-01 -5.047135e-02 
 7.394422e-01 -5.477338e-02 
 7.398460e-01 -5.874179e-02 
 7.402499e-01 -6.225640e-02 
 7.406537e-01 -6.529222e-02 
 7.410576e-01 -6.779363e-02 
 7.414614e-01 -6.978444e-02 
 7.418653e-01 -7.123973e-02 
 7.422691e-01 -7.221620e-02 
 7.426730e-01 -7.274341e-02 
 7.430768e-01 -7.288362e-02 
 7.434806e-01 -7.267134e-02 
 7.438845e-01 -7.216174e-02 
 7.442883e-01 -7.135817e-02 
 7.446922e-01 -7.029048e-02 
 7.450960e-01 -6.895184e-02 
 7.454999e-01 -6.739783e-02 
 7.459037e-01 -6.568743e-02 
 7.463076e-01 -6.391977e-02 
 7.467114e-01 -6.217787e-02 
 7.471153e-01 -6.052084e-02 
 7.475191e-01 -5.893898e-02 
 7.479230e-01 -5.742318e-02 
 7.483268e-01 -5.609436e-02 
 7.487306e-01 -5.494663e-02 
 7.491345e-01 -5.403097e-02 
 7.495383e-01 -5.333698e-02 
 7.499422e-01 -5.280077e-02 
 7.503460e-01 -5.236558e-02 
 7.507499e-01 -5.200217e-02 
 7.511537e-01 -5.170782e-02 
 7.515576e-01 -5.145188e-02 
 7.519614e-01 -5.122559e-02 
 7.523653e-01 -5.103680e-02 
 7.527691e-01 -5.087091e-02 
 7.531730e-01 -5.076397e-02 
 7.535768e-01 -5.074502e-02 
 7.539806e-01 -5.081773e-02 
 7.543845e-01 -5.099515e-02 
 7.547883e-01 -5.127031e-02 
 7.551922e-01 -5.168001e-02 
 7.555960e-01 -5.227195e-02 
 7.559999e-01 -5.310051e-02 
 7.564037e-01 -5.416486e-02 
 7.568076e-01 -5.546652e-02 
 7.572114e-01 -5.694669e-02 
 7.576153e-01 -5.857520e-02 
 7.580191e-01 -6.027017e-02 
